ResourceGroup,VMName
bab-dev-shp-swec-rg-01,DADOCAPIIDWV2
bab-dev-bo-swec-rg-01,DABORAPXXDWV1
bab-dev-dexxis-swec-rg-01,daemvapdpdwv1
bab-dev-dexxis-swec-rg-01,DAEMVDBORDWV2
bab-dev-modcred-swec-rg-01,DAMODAPWBDWV1
bab-dev-ods-swec-rg-01,DAODSDBORDWV2
bab-dev-pbi-swec-rg-01,DAPBIDBSQDWV1
bab-dev-bo-swec-rg-01,DASAPAPBODWV1
bab-dev-bo-swec-rg-01,DASAPWBBODWV1
bab-dev-shp-swec-rg-01,DASHPAPFEOWV1
bab-dev-tfs-swec-rg-01,DATFSAPAIDWV1
bab-dev-tfs-swec-rg-01,DATFSAPOCDWV1
bab-dev-rmb-swec-rg-01,Dev-Mobl-BNK-DB-01
bab-dev-tfs-swec-rg-01,DTAZRTFSApWV01
bab-dev-tfs-swec-rg-01,DTAZRTFSAPWV02
bab-dev-tfs-swec-rg-01,DTAZRTFSAPWV03
bab-dev-tfs-swec-rg-01,DTAZRTFSDBWV1
bab-dev-tfs-swec-rg-01,DTAZRTFSMWWV01
bab-dev-tfs-swec-rg-01,DTAZRTFSMWWV02
