"Name","ResourceGroup","DiskSizeGB","Sku","Location","CreationDate"
"snapshot-DAADOT24DBDWV01-data0-20250831-163810","BAB-DEV-ADO-T24-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 4:38:32 PM"
"snapshot-DAADOT24DBDWV01-data1-20250831-163810","BAB-DEV-ADO-T24-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 4:38:47 PM"
"snapshot-DAADOT24DBDWV01-data2-20250831-163810","BAB-DEV-ADO-T24-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 4:39:02 PM"
"snapshot-DAADOT24DBDWV01-data3-20250831-163810","BAB-DEV-ADO-T24-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 4:39:17 PM"
"snapshot-DAADOT24DBDWV01-data4-20250831-163810","BAB-DEV-ADO-T24-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 4:39:33 PM"
"snapshot-DAADOT24DBDWV01-data5-20250831-163810","BAB-DEV-ADO-T24-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 4:39:47 PM"
"snapshot-DAADOT24DBDWV01-data6-20250831-163810","BAB-DEV-ADO-T24-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 4:40:02 PM"
"snapshot-DAADOT24DBDWV01-data7-20250831-163810","BAB-DEV-ADO-T24-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 4:40:16 PM"
"snapshot-DAADOT24DBDWV01-os-20250831-163810","BAB-DEV-ADO-T24-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 4:38:17 PM"
"DABDMAPWBDWV1-OSDisk-snap-070725","BAB-DEV-BDS-SWEC-RG-01",,"Standard_ZRS","swedencentral","7/7/2025 4:14:08 PM"
"DABDMAPWBDWV1-OSDisk-snapshot-24062025","BAB-DEV-BDS-SWEC-RG-01",,"Standard_LRS","swedencentral","6/24/2025 6:48:02 PM"
"DAIBGADLDDWV1-OSSnapshot","BAB-DEV-BIB-SWEC-RG-01",,"Standard_LRS","swedencentral","5/26/2025 12:28:57 PM"
"DAEMVAPCIDWV01-OSdisk-snap","BAB-DEV-DEXXIS-SWEC-RG-01",,"Standard_ZRS","swedencentral","8/12/2025 12:31:14 PM"
"DAEBSAPINDLV01_OsDiskSnap_1","BAB-DEV-EBS-SWEC-RG-01",,"Standard_ZRS","swedencentral","12/8/2024 5:57:41 PM"
"DAEBSDBORDLV01_OsDiskSnap_1","BAB-DEV-EBS-SWEC-RG-01",,"Standard_ZRS","swedencentral","12/8/2024 6:02:59 PM"
"DADHBDBSQDWV1-datadisk-01-snapshot-04062","BAB-DEV-ETL-SWEC-RG-01",,"Standard_LRS","swedencentral","6/4/2025 7:38:53 PM"
"DADHBDBSQDWV1-datadisk-02-snapshot-04062","BAB-DEV-ETL-SWEC-RG-01",,"Standard_LRS","swedencentral","6/4/2025 7:38:59 PM"
"DADHBDBSQDWV1-datadisk-03-snapshot-04062","BAB-DEV-ETL-SWEC-RG-01",,"Standard_LRS","swedencentral","6/4/2025 7:39:01 PM"
"DADHBDBSQDWV1-datadisk-04-snapshot-04062","BAB-DEV-ETL-SWEC-RG-01",,"Standard_LRS","swedencentral","6/4/2025 7:39:05 PM"
"DADHBDBSQDWV1-OSdisk-00-snapshot-04062","BAB-DEV-ETL-SWEC-RG-01",,"Standard_LRS","swedencentral","6/4/2025 7:38:54 PM"
"DAETLAPDMDWV1-datadisk-01-snapshot-06042025","BAB-DEV-ETL-SWEC-RG-01",,"Standard_LRS","swedencentral","6/4/2025 7:33:02 PM"
"DAETLAPDMDWV1-datadisk-02-snapshot-04062025","BAB-DEV-ETL-SWEC-RG-01",,"Standard_LRS","swedencentral","6/4/2025 7:34:49 PM"
"DAETLAPDMDWV1-datadisk-03-snapshot-04062025","BAB-DEV-ETL-SWEC-RG-01",,"Standard_LRS","swedencentral","6/4/2025 7:35:43 PM"
"DAETLAPDMDWV1-OSdisk-00-snapshot-04062025","BAB-DEV-ETL-SWEC-RG-01",,"Standard_LRS","swedencentral","6/4/2025 7:30:20 PM"
"DAETLAPDMDWV1-test-CPU-change","BAB-DEV-ETL-SWEC-RG-01",,"Standard_ZRS","swedencentral","4/17/2025 11:47:08 AM"
"DAIBGAPWSDLV1-OSdisk-00-test-Snap","BAB-DEV-IBG-SWEC-RG-01",,"Standard_ZRS","swedencentral","5/1/2025 10:19:21 AM"
"snapshot-DAMODAPERDWV1-data0-20250831-145951","BAB-DEV-MODERM-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 3:00:15 PM"
"snapshot-DAMODAPERDWV1-os-20250831-145951","BAB-DEV-MODERM-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 2:59:58 PM"
"snapshot-DAMODAPERDWV2-data0-20250831-145951","BAB-DEV-MODERM-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 3:00:49 PM"
"snapshot-DAMODAPERDWV2-os-20250831-145951","BAB-DEV-MODERM-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 3:00:32 PM"
"snapshot-DAMODDBORDLV2-data0-20250831-145951","BAB-DEV-MODERM-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 3:01:21 PM"
"snapshot-DAMODDBORDLV2-data1-20250831-145951","BAB-DEV-MODERM-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 3:01:36 PM"
"snapshot-DAMODDBORDLV2-data2-20250831-145951","BAB-DEV-MODERM-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 3:01:50 PM"
"snapshot-DAMODDBORDLV2-os-20250831-145951","BAB-DEV-MODERM-SWEC-RG-01",,"Standard_LRS","swedencentral","8/31/2025 3:01:05 PM"
"snapshot-DATMSAPMODLV1-data0-20250820-190426","BAB-DEV-MUX-SWEC-RG-01",,"Standard_LRS","swedencentral","8/20/2025 7:04:34 PM"
"snapshot-DATMSAPMODLV1-os-20250820-190426","BAB-DEV-MUX-SWEC-RG-01",,"Standard_LRS","swedencentral","8/20/2025 7:04:30 PM"
"snapshot-DATMSDBORDLV1-data0-20250820-190426","BAB-DEV-MUX-SWEC-RG-01",,"Standard_LRS","swedencentral","8/20/2025 7:04:43 PM"
"snapshot-DATMSDBORDLV1-data1-20250820-190426","BAB-DEV-MUX-SWEC-RG-01",,"Standard_LRS","swedencentral","8/20/2025 7:04:47 PM"
"snapshot-DATMSDBORDLV1-data2-20250820-190426","BAB-DEV-MUX-SWEC-RG-01",,"Standard_LRS","swedencentral","8/20/2025 7:04:51 PM"
"snapshot-DATMSDBORDLV1-data3-20250820-190426","BAB-DEV-MUX-SWEC-RG-01",,"Standard_LRS","swedencentral","8/20/2025 7:04:54 PM"
"snapshot-DATMSDBORDLV1-os-20250820-190426","BAB-DEV-MUX-SWEC-RG-01",,"Standard_LRS","swedencentral","8/20/2025 7:04:38 PM"
"Dev-Mobl-BNK-APP-01-OS-disk-snap-100425","BAB-DEV-RMB-SWEC-RG-01",,"Standard_ZRS","swedencentral","4/10/2025 12:21:42 PM"
"Dev-Mobl-BNK-APP-01_DataDisk-snap-100425","BAB-DEV-RMB-SWEC-RG-01",,"Standard_ZRS","swedencentral","4/10/2025 12:33:00 PM"
"Dev-Mobl-BNK-APP-01_DataDisk_01","BAB-DEV-RMB-SWEC-RG-01",,"Standard_ZRS","swedencentral","3/20/2025 4:03:18 PM"
"Dev-Mobl-BNK-APP-01_OsDisk-Snapshot-200305","BAB-DEV-RMB-SWEC-RG-01",,"Standard_ZRS","swedencentral","3/20/2025 4:01:05 PM"
"Dev-Mobl-BNK-DB-01-Appdisk-snap-200325","BAB-DEV-RMB-SWEC-RG-01",,"Standard_ZRS","swedencentral","3/20/2025 4:09:26 PM"
"Dev-Mobl-BNK-DB-01-Backupdisk-snap-200325","BAB-DEV-RMB-SWEC-RG-01",,"Standard_ZRS","swedencentral","3/20/2025 4:10:58 PM"
"Dev-Mobl-BNK-DB-01-Logdisk-20.0305","BAB-DEV-RMB-SWEC-RG-01",,"Standard_ZRS","swedencentral","3/20/2025 4:08:37 PM"
"Dev-Mobl-BNK-DB-01-UserDBdisk-snap-200325","BAB-DEV-RMB-SWEC-RG-01",,"Standard_ZRS","swedencentral","3/20/2025 4:15:28 PM"
"Dev-Mobl-BNK-DB-01_DataDisk-snap200325","BAB-DEV-RMB-SWEC-RG-01",,"Standard_ZRS","swedencentral","3/20/2025 4:13:26 PM"
"Dev-Mobl-BNK-DB-01_OsDisk-200305","BAB-DEV-RMB-SWEC-RG-01",,"Standard_ZRS","swedencentral","3/20/2025 4:06:25 PM"
"D2DOCAPIIDWV2-OSdisk-00-snap","BAB-DEV-SHP-SWEC-RG-01",,"Standard_ZRS","swedencentral","4/15/2025 4:12:02 PM"
"DASAIPRAIDLV01-OSsnap-100122025","BAB-DEV-SNAI-SWEC-RG-01",,"Standard_ZRS","swedencentral","10/12/2025 1:58:03 PM"
"snapshot-DASNWAPTMDLV1-data-20250717-165728","BAB-DEV-SVCNOW-SWEC-RG-01",,"Standard_LRS","swedencentral","7/17/2025 4:57:35 PM"
"snapshot-DASNWAPTMDLV1-os-20250717-165728","BAB-DEV-SVCNOW-SWEC-RG-01",,"Standard_LRS","swedencentral","7/17/2025 4:57:30 PM"
"snapshot-DASNWDBORDLV1-data-20250717-165630","BAB-DEV-SVCNOW-SWEC-RG-01",,"Standard_LRS","swedencentral","7/17/2025 4:56:36 PM"
"snapshot-DASNWDBORDLV1-os-20250717-165630","BAB-DEV-SVCNOW-SWEC-RG-01",,"Standard_LRS","swedencentral","7/17/2025 4:56:31 PM"
"snapshot-DASNWWBTMDWV1-data-20250717-165641","BAB-DEV-SVCNOW-SWEC-RG-01",,"Standard_LRS","swedencentral","7/17/2025 4:56:46 PM"
"snapshot-DASNWWBTMDWV1-os-20250717-165641","BAB-DEV-SVCNOW-SWEC-RG-01",,"Standard_LRS","swedencentral","7/17/2025 4:56:42 PM"
"DTAZRTFSMWWV03_OsDisk_Snap_060125","BAB-DEV-TFS-SWEC-RG-01",,"Standard_ZRS","swedencentral","1/6/2025 5:22:30 PM"
"DASDEAPPDWV1_OsDisk_1_Snapshot_9jan25","DEV-SDE-SWEC-RG-01",,"Standard_LRS","swedencentral","1/9/2025 10:20:51 AM"
