"Name","ResourceGroup","DiskSizeGB","Sku","Location","CreationDate"
"ENJAVDPHEA-10-datadisk-ENJAVDPHEA-10-Disk-01-snap","ENJAZ-AVD-01",,"Standard_LRS","uaenorth","5/30/2025 11:05:42 PM"
"ENJAVDPHEA-10-osdisk-snap","ENJAZ-AVD-01",,"Standard_LRS","uaenorth","5/30/2025 11:05:04 PM"
"DAT24APNTDWV2-datadisk-01-Snap","ENJAZ-T24-DEV-REPLICA-RG-01",,"Standard_ZRS","uaenorth","5/21/2024 1:27:11 PM"
"DAT24APNTDWV2-datadisk-02-Snap","ENJAZ-T24-DEV-REPLICA-RG-01",,"Standard_ZRS","uaenorth","5/21/2024 1:27:49 PM"
"DAT24APNTDWV2-datadisk-03-Snap","ENJAZ-T24-DEV-REPLICA-RG-01",,"Standard_ZRS","uaenorth","5/21/2024 1:27:59 PM"
"DAT24APNTDWV2-OSdisk-Snap","ENJAZ-T24-DEV-REPLICA-RG-01",,"Standard_ZRS","uaenorth","5/21/2024 1:27:01 PM"
"DAT24DBSQDWV2-datadisk-00-Snap","ENJAZ-T24-DEV-REPLICA-RG-01",,"Standard_ZRS","uaenorth","5/21/2024 1:32:20 PM"
"DAT24DBSQDWV2-datadisk-01-Snap","ENJAZ-T24-DEV-REPLICA-RG-01",,"Standard_ZRS","uaenorth","5/21/2024 1:32:42 PM"
"DAT24DBSQDWV2-datadisk-02-Snap","ENJAZ-T24-DEV-REPLICA-RG-01",,"Standard_ZRS","uaenorth","5/21/2024 1:33:14 PM"
"DAT24DBSQDWV2-datadisk-03-Snap","ENJAZ-T24-DEV-REPLICA-RG-01",,"Standard_ZRS","uaenorth","5/21/2024 1:35:22 PM"
"DAT24DBSQDWV2-datadisk-04-Snap","ENJAZ-T24-DEV-REPLICA-RG-01",,"Standard_ZRS","uaenorth","5/21/2024 1:36:10 PM"
"DAT24DBSQDWV2-datadisk-05-Snap","ENJAZ-T24-DEV-REPLICA-RG-01",,"Standard_ZRS","uaenorth","5/21/2024 1:36:53 PM"
"DAT24DBSQDWV2-datadisk-06-Snap","ENJAZ-T24-DEV-REPLICA-RG-01",,"Standard_ZRS","uaenorth","5/21/2024 1:37:45 PM"
"DAT24DBSQDWV2-datadisk-08-Snap","ENJAZ-T24-DEV-REPLICA-RG-01",,"Standard_ZRS","uaenorth","5/21/2024 1:38:18 PM"
"DAT24DBSQDWV2-OSdisk-Snap","ENJAZ-T24-DEV-REPLICA-RG-01",,"Standard_ZRS","uaenorth","5/21/2024 1:32:14 PM"
