"Name","ResourceGroup","DiskSizeGB","Sku","Location","CreationDate"
"DAEBSAPEXDLV01_OsDiskSnap_1","BAB-CORE-EBS-WEEU-RG-01",,"Standard_ZRS","westeurope","12/8/2024 5:59:05 PM"
"DAEBSAPEXDLV02_OsDiskSnap_1","BAB-CORE-EBS-WEEU-RG-01",,"Standard_ZRS","westeurope","12/8/2024 6:00:26 PM"
"DAEBSWBRPDLV01_OsDiskSnap_1","BAB-CORE-EBS-WEEU-RG-01",,"Standard_ZRS","westeurope","12/8/2024 6:01:14 PM"
"DAEBSWBRPDLV02_OsDisk_1","BAB-CORE-EBS-WEEU-RG-01",,"Standard_ZRS","westeurope","12/8/2024 5:38:55 PM"
"DAPANFMMGMTLV01_Datadisk-snap-060125","BAB-CORE-PANFW-WEEU-RG-01",,"Standard_ZRS","westeurope","1/6/2025 12:38:22 PM"
"DAPANFMMGMTLV01_OsDisk-snap-060125","BAB-CORE-PANFW-WEEU-RG-01",,"Standard_ZRS","westeurope","1/6/2025 12:37:07 PM"
"DAIBGAPWSDLV1-OSdisk-snap-040525","BAB-CORE-APPGW-WEEU-RG-01",,"Standard_ZRS","swedencentral","5/4/2025 12:19:02 PM"
"AzureBackup_38d7cd57-ca1c-444b-b3d6-574a033e485d_2024-11-06T14-26-23.1269313","BAB-CORE-DISKSNAP-SWEC-RG-01",,"Standard_ZRS","swedencentral","11/6/2024 5:27:29 PM"
"DAPIPAPAGDLV2_OsDisk_Snapshot","BAB-CORE-MIGRATION-WEEU-RG-01",,"Standard_ZRS","swedencentral","12/3/2024 4:44:57 PM"
"DAFGTFMCMLV01-disk-before-license","BAB-CORE-NW-SWEC-RG-01",,"Standard_ZRS","swedencentral","6/30/2025 3:09:53 PM"
"DAFGTFMCMLV01-os-before-license","BAB-CORE-NW-SWEC-RG-01",,"Standard_ZRS","swedencentral","6/30/2025 3:09:24 PM"
