"SubscriptionName","SubscriptionId","ResourceGroup","DiskName","Location","DiskSize_GB","DiskSku","DiskState","TimeCreated","MonthlyCost_USD","Tags","DeletionStatus"
"Enterprise Dev/Test","2a908090-d056-438c-bcf3-00ce359a72b5","DEV-TEST-01","devimptdvop01_DataDisk_1","westeurope","32","Standard_LRS","Unattached","12/12/2022 11:35:05 AM","1.28","","N/A"
"Enterprise Dev/Test","2a908090-d056-438c-bcf3-00ce359a72b5","DEV-TEST-01","devimptdvop01_DataDisk_2","westeurope","32","Standard_LRS","Unattached","12/12/2022 11:35:05 AM","1.28","","N/A"
"Enterprise Dev/Test","2a908090-d056-438c-bcf3-00ce359a72b5","DEV-TEST-01","devsqlimprtdvop01_DataDisk_1","westeurope","1024","Standard_LRS","Unattached","12/12/2022 11:23:27 AM","40.96","","N/A"
"Enterprise Dev/Test","2a908090-d056-438c-bcf3-00ce359a72b5","DEV-TEST-01","devsqlimprtdvop01_DataDisk_2","westeurope","32","Standard_LRS","Unattached","12/12/2022 11:23:27 AM","1.28","","N/A"
"Enterprise Dev/Test","2a908090-d056-438c-bcf3-00ce359a72b5","DEV-DEVOPS-DEV-RG-01","D2MVSAPREDWV1-datadisk-02","uaenorth","250","Standard_LRS","Unattached","3/5/2023 1:54:21 PM","10","Company=BAB; AzHydration-ManagedDisk-CreatedBy=Azure Migrate","N/A"
"Enterprise Dev/Test","2a908090-d056-438c-bcf3-00ce359a72b5","DEV-DEVOPS-DEV-RG-01","D2MVSAPREDWV1-datadisk-03","uaenorth","250","Standard_LRS","Unattached","3/5/2023 1:54:21 PM","10","Company=BAB; AzHydration-ManagedDisk-CreatedBy=Azure Migrate","N/A"
"Enterprise Dev/Test","2a908090-d056-438c-bcf3-00ce359a72b5","DEV-DEVOPS-DEV-RG-01","d2mvsapredwv1-datadisk-04","uaenorth","512","Standard_LRS","Unattached","2/9/2025 10:28:44 AM","20.48","","N/A"
"Enterprise Dev/Test","2a908090-d056-438c-bcf3-00ce359a72b5","DEV-TEST-01","dtazrdevappdbwv01-datadisk-000-20230227-103345","uaenorth","4096","Standard_LRS","Unattached","2/27/2023 10:33:46 AM","163.84","Company=BAB; Department=DEV; Application=DEVOPS Server; Type=DevOps servers Backup; RSVaultBackup=6b890954-70ce-4bd1-9190-4558b26e0c2a","N/A"
"BAB-DEV","43cc4f11-ffb1-4a0d-8420-0ba3746b4248","BAB-DEV-TEST-DEVOPS-SWEC-RG-01","DAT24DBSQDWV1-OSdisk-200225","uaenorth","50","Standard_LRS","Unattached","2/20/2025 2:26:36 PM","2","","N/A"
"BAB-DEV","43cc4f11-ffb1-4a0d-8420-0ba3746b4248","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","pvc-2c16506b-0aba-4eb4-970e-4f448a9fc288","swedencentral","200","StandardSSD_LRS","Unattached","5/22/2025 5:46:18 PM","10","k8s-azure-created-by=kubernetes-azure-dd; kubernetes.io-created-for-pv-name=pvc-2c16506b-0aba-4eb4-970e-4f448a9fc288; kubernetes.io-created-for-pvc-name=data-small-a7s-storage-0; kubernetes.io-created-for-pvc-namespace=bab-dev-cp4i","N/A"
"BAB-DEV","43cc4f11-ffb1-4a0d-8420-0ba3746b4248","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","pvc-3268f32d-b1fe-424e-8607-d05bafe5a0ca","swedencentral","10","StandardSSD_LRS","Unattached","2/6/2025 12:51:40 PM","0.5","k8s-azure-created-by=kubernetes-azure-dd; kubernetes.io-created-for-pv-name=pvc-3268f32d-b1fe-424e-8607-d05bafe5a0ca; kubernetes.io-created-for-pvc-name=data-pp-postgresql-camunda-postgresql-1; kubernetes.io-created-for-pvc-namespace=bab-dev-dgpdpl-bigid-privacy-01","N/A"
"BAB-DEV","43cc4f11-ffb1-4a0d-8420-0ba3746b4248","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","pvc-3fd2a6cd-47d6-4466-93de-453160016f2f","swedencentral","40","StandardSSD_LRS","Unattached","12/10/2024 7:56:59 PM","2","k8s-azure-created-by=kubernetes-azure-dd; kubernetes.io-created-for-pv-name=pvc-3fd2a6cd-47d6-4466-93de-453160016f2f; kubernetes.io-created-for-pvc-name=prometheus-k8s-db-prometheus-k8s-0; kubernetes.io-created-for-pvc-namespace=openshift-monitoring","N/A"
"BAB-DEV","43cc4f11-ffb1-4a0d-8420-0ba3746b4248","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","pvc-4d339623-9c5e-41aa-a374-030b5043e39f","swedencentral","94","StandardSSD_LRS","Unattached","12/4/2024 1:31:30 PM","4.7","k8s-azure-created-by=kubernetes-azure-dd; kubernetes.io-created-for-pv-name=pvc-4d339623-9c5e-41aa-a374-030b5043e39f; kubernetes.io-created-for-pvc-name=elasticsearch-elasticsearch-cdm-0plejymd-2; kubernetes.io-created-for-pvc-namespace=openshift-logging","N/A"
"BAB-DEV","43cc4f11-ffb1-4a0d-8420-0ba3746b4248","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","pvc-52a400d4-3469-4e4b-acbb-c8b5def12302","swedencentral","94","StandardSSD_LRS","Unattached","12/4/2024 1:31:31 PM","4.7","k8s-azure-created-by=kubernetes-azure-dd; kubernetes.io-created-for-pv-name=pvc-52a400d4-3469-4e4b-acbb-c8b5def12302; kubernetes.io-created-for-pvc-name=elasticsearch-elasticsearch-cdm-0plejymd-3; kubernetes.io-created-for-pvc-namespace=openshift-logging","N/A"
"BAB-DEV","43cc4f11-ffb1-4a0d-8420-0ba3746b4248","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","pvc-6291d26d-6d03-4c52-baa6-a2aa1b4cbd68","swedencentral","6","StandardSSD_LRS","Unattached","5/22/2025 5:47:53 PM","0.3","k8s-azure-created-by=kubernetes-azure-dd; kubernetes.io-created-for-pv-name=pvc-6291d26d-6d03-4c52-baa6-a2aa1b4cbd68; kubernetes.io-created-for-pvc-name=dblogs-small-ptl-ece6d96a-db-0; kubernetes.io-created-for-pvc-namespace=bab-dev-cp4i","N/A"
"BAB-DEV","43cc4f11-ffb1-4a0d-8420-0ba3746b4248","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","pvc-63d8c8dd-33b3-44e8-a16b-9d0e2b795a44","swedencentral","1","StandardSSD_LRS","Unattached","2/6/2025 12:51:40 PM","0.05","k8s-azure-created-by=kubernetes-azure-dd; kubernetes.io-created-for-pv-name=pvc-63d8c8dd-33b3-44e8-a16b-9d0e2b795a44; kubernetes.io-created-for-pvc-name=data-pp-postgresql-user-manager-postgresql-1; kubernetes.io-created-for-pvc-namespace=bab-dev-dgpdpl-bigid-privacy-01","N/A"
"BAB-DEV","43cc4f11-ffb1-4a0d-8420-0ba3746b4248","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","pvc-75e07d2b-59f5-4503-8ce5-0b1ba5431d33","swedencentral","1","StandardSSD_LRS","Unattached","5/22/2025 5:47:54 PM","0.05","k8s-azure-created-by=kubernetes-azure-dd; kubernetes.io-created-for-pv-name=pvc-75e07d2b-59f5-4503-8ce5-0b1ba5431d33; kubernetes.io-created-for-pvc-name=nginx-small-ptl-nginx-0; kubernetes.io-created-for-pvc-namespace=bab-dev-cp4i","N/A"
"BAB-DEV","43cc4f11-ffb1-4a0d-8420-0ba3746b4248","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","pvc-9990e323-58a0-4f7b-9145-89abbdb9f743","swedencentral","10","StandardSSD_LRS","Unattached","2/6/2025 12:51:40 PM","0.5","k8s-azure-created-by=kubernetes-azure-dd; kubernetes.io-created-for-pv-name=pvc-9990e323-58a0-4f7b-9145-89abbdb9f743; kubernetes.io-created-for-pvc-name=data-pp-postgresql-camunda-postgresql-2; kubernetes.io-created-for-pvc-namespace=bab-dev-dgpdpl-bigid-privacy-01","N/A"
"BAB-DEV","43cc4f11-ffb1-4a0d-8420-0ba3746b4248","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","pvc-99afe2d5-97be-429e-a50f-d43251acf263","swedencentral","15","StandardSSD_LRS","Unattached","5/22/2025 5:47:54 PM","0.75","k8s-azure-created-by=kubernetes-azure-dd; kubernetes.io-created-for-pv-name=pvc-99afe2d5-97be-429e-a50f-d43251acf263; kubernetes.io-created-for-pvc-name=db-small-ptl-ece6d96a-db-0; kubernetes.io-created-for-pvc-namespace=bab-dev-cp4i","N/A"
"BAB-DEV","43cc4f11-ffb1-4a0d-8420-0ba3746b4248","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","pvc-9c567c75-9ec6-4154-9448-708b2b754a91","swedencentral","15","StandardSSD_LRS","Unattached","5/22/2025 5:47:53 PM","0.75","k8s-azure-created-by=kubernetes-azure-dd; kubernetes.io-created-for-pv-name=pvc-9c567c75-9ec6-4154-9448-708b2b754a91; kubernetes.io-created-for-pvc-name=backup-small-ptl-ece6d96a-www-0; kubernetes.io-created-for-pvc-namespace=bab-dev-cp4i","N/A"
