SubscriptionName,SubscriptionId,ResourceGroup,DiskName,Location,DiskSize_GB,DiskSku,DiskState,TimeCreated,AgeDays,AgeCategory,IsStaleUpload,IsMigrationRelated,MigrationInfo,MonthlyCost_USD,Tags,DeletionStatus,RiskLevel
BAB-DEV,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-TEST-DEVOPS-SWEC-RG-01,DAT24DBSQDWV1-OSdisk-200225,uaenorth,50,Standard_LRS,Unattached,2/20/2025 14:26,248,Very Old (>6 months),FALSE,FALSE,,2,,N/A,MEDIUM - Long Unattached
BAB-DEV,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-BAAS-AD-RG-01,DABASADCPDWV1_DataDisk_0-ASRReplica,swedencentral,1,StandardSSD_LRS,Unattached,10/15/2025 8:53,11.2,New (<1 month),FALSE,FALSE,,0.05,ASR-ReplicaDisk=43dc6063-8bbe-5f53-a349-c2e376765785,N/A,LOW
BAB-DEV,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-BAAS-AD-RG-01,DABASADRTDWV1_DataDisk_0-ASRReplica,swedencentral,1,StandardSSD_LRS,Unattached,10/15/2025 8:52,11.2,New (<1 month),FALSE,FALSE,,0.05,ASR-ReplicaDisk=a912c669-09d5-5338-93c3-8d5f877eadd6,N/A,LOW
BAB-DEV,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-CBDC-SWEC-RG-01,DTAZCBDAWWV01_DataDisk_0-ASRReplica,swedencentral,1,StandardSSD_LRS,Unattached,11/4/2024 11:38,356.1,Very Old (>6 months),FALSE,FALSE,,0.05,ASR-ReplicaDisk=e6c0593d-a049-5cf0-aa52-def7b2eaf8d2,N/A,MEDIUM - Long Unattached
BAB-DEV,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-DEXXIS-SWEC-RG-01,DAEMVAPCIDWV01-OSdisk-00,swedencentral,64,StandardSSD_ZRS,Unattached,8/12/2025 5:46,75.4,Recent (>1 month),FALSE,TRUE,AzHydration-ManagedDisk-CreatedBy=Azure Migrate,4,AzHydration-ManagedDisk-CreatedBy=Azure Migrate,N/A,MEDIUM - Old Migration
BAB-DEV,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-DGPDPL-SWEC-RG-01,DADGINFDBWV01_DataDisk_0,swedencentral,512,StandardSSD_LRS,Unattached,8/27/2024 13:19,425,Very Old (>6 months),FALSE,FALSE,,25.6,"Company=BAB; Project =DG-PDPL; ENV=DEV; Application=SQL DB; Role=DB; Vendor=BigID,Informatica,Erwin",N/A,MEDIUM - Long Unattached
BAB-DEV,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-DGPDPL-SWEC-RG-01,tst,swedencentral,4,StandardSSD_LRS,Unattached,8/8/2024 10:24,444.2,Very Old (>6 months),FALSE,FALSE,,0.2,,N/A,MEDIUM - Long Unattached
BAB-DEV,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-PCC-SWEC-RG-01,test,swedencentral,4,StandardSSD_LRS,Unattached,4/8/2025 15:40,200.9,Very Old (>6 months),FALSE,FALSE,,0.2,,N/A,MEDIUM - Long Unattached
BAB-DEV,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-PPL-BR-RG-01,DAPPLSQDBDWV01_DataDisk_0,swedencentral,500,StandardSSD_LRS,Unattached,10/20/2025 12:01,6.1,New (<1 month),FALSE,FALSE,,25,,N/A,LOW
BAB-DEV,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-RMB-SWEC-RG-01,Dev-Mobl-BNK-Web-01_DataDisk_0-ASRReplica,swedencentral,1,StandardSSD_LRS,Unattached,1/28/2025 17:11,270.9,Very Old (>6 months),FALSE,FALSE,,0.05,ASR-ReplicaDisk=ca2e0962-1a39-58fa-be9c-5a1791da4e73,N/A,MEDIUM - Long Unattached
