"VMName","ResourceGroup","OS","PowerState","GuestAgentStatus","GuestAgentVersion","MDEPresent","MDEType","MDEState","MDEVersion"
"bab-dev-aro-01-zm4qv-master-0","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","Unknown","Unknown","Unknown","No","None","N/A","N/A"
"bab-dev-aro-01-zm4qv-master-1","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","Unknown","Unknown","Unknown","No","None","N/A","N/A"
"bab-dev-aro-01-zm4qv-master-2","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","Unknown","Unknown","Unknown","No","None","N/A","N/A"
"bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","Unknown","Unknown","Unknown","No","None","N/A","N/A"
"bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","Unknown","Unknown","Unknown","No","None","N/A","N/A"
"bab-dev-aro-01-zm4qv-worker-swec-03-pdt28","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","Unknown","Unknown","Unknown","No","None","N/A","N/A"
"bab-dev-aro-01-zm4qv-worker-swec-04-25fmv","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","Unknown","Unknown","Unknown","No","None","N/A","N/A"
"bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","Unknown","Unknown","Unknown","No","None","N/A","N/A"
"bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","Unknown","Unknown","Unknown","No","None","N/A","N/A"
"bab-dev-aro-01-zm4qv-worker-swec-07-48zfr","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","Unknown","Unknown","Unknown","No","None","N/A","N/A"
"bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","ARO-INFRA-LX29KZ5C-BAB-DEV-ARO-01","Linux","Unknown","Unknown","Unknown","No","None","N/A","N/A"
"DADAIGPULV01","BAB-CORE-AI-SWEC-01","Linux","Unknown","Unknown","Unknown","Yes","MDE.Linux","Succeeded","1.0"
"DADAIGPULV2","BAB-CORE-AI-SWEC-01","Linux","Unknown","Unknown","Unknown","Yes","MDE.Linux","Succeeded","1.0"
"DAADOT24DBDWV01","BAB-DEV-ADO-T24-SWEC-RG-01","Windows","Unknown","Unknown","Unknown","Yes","MDE.Windows","Succeeded","1.0"
"DAAMLAIODBDLV01","BAB-DEV-AML-AI-RG-01","Linux","Unknown","Unknown","Unknown","Yes","MDE.Linux","Succeeded","1.0"
"DAAMLAIPGDBDLV01","BAB-DEV-AML-AI-RG-01","Linux","Unknown","Unknown","Unknown","Yes","MDE.Linux","Succeeded","1.0"
"DARRRAPAUDLV1","BAB-DEV-APEX-SWEC-RG-01","Linux","Unknown","Unknown","Unknown","No","None","N/A","N/A"
"DARRRDBORDLV1","BAB-DEV-APEX-SWEC-RG-01","Linux","Unknown","Unknown","Unknown","No","None","N/A","N/A"
"DARRRWBWBDLV1","BAB-DEV-APEX-SWEC-RG-01","Linux","Unknown","Unknown","Unknown","Yes","MDE.Linux","Failed","1.0"
"DANCRAPXXDWV1","BAB-DEV-APTRA-SWEC-RG-01","Windows","Unknown","Unknown","Unknown","Yes","MDE.Windows","Succeeded","1.0"
"DAAVEAPFLDWV01","BAB-DEV-AVE-SWEC-RG-01","Windows","Unknown","Unknown","Unknown","Yes","MDE.Windows","Succeeded","1.0"
"DAAVEAPPDWV01","BAB-DEV-AVE-SWEC-RG-01","Windows","Unknown","Unknown","Unknown","Yes","MDE.Windows","Succeeded","1.0"
"DAAVEWBPRDWV01","BAB-DEV-AVE-SWEC-RG-01","Windows","Unknown","Unknown","Unknown","Yes","MDE.Windows","Succeeded","1.0"
"DABASADCPDWV1","BAB-DEV-BAAS-AD-RG-01","Windows","Unknown","Unknown","Unknown","Yes","MDE.Windows","Succeeded","1.0"
"DABASADRTDWV1","BAB-DEV-BAAS-AD-RG-01","Windows","Unknown","Unknown","Unknown","Yes","MDE.Windows","Succeeded","1.0"
