vmName,resourceGroup,subscription,recoveryResourceGroupId,recoveryContainerId,recoveryAzureNetworkId,recoverySubnetName
DARMBKFKLV01,bab-dev-kfk-uae-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-kfk-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
DARMBKFKLV02,bab-dev-kfk-uae-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-kfk-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
DARMBKFKLV03,bab-dev-kfk-uae-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-kfk-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
DACASDBLV01,dev-afcai-gib-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-gib-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-db-02
DACASDBLV02,dev-afcai-gib-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-gib-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-db-02
DAMLAPLV01,dev-afcai-gib-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-gib-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
DAMORADLV01,dev-afcai-gib-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-gib-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
DASASAPAISLV1,dev-afcai-sas-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-sas-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
DASASAPODELV1,dev-afcai-sas-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-sas-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
DASASAPPWBSLV1,dev-afcai-sas-rg-01,2a908090-d056-438c-bcf3-00ce359a72b5,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-sas-swec-rg-01,/Subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/BAB-Core-Migration-01/providers/Microsoft.RecoveryServices/vaults/bab-core-migrt-rsv-swec-01/replicationFabrics/asr-a2a-default-swedencentral/replicationProtectionContainers/asr-a2a-default-swedencentral-container,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-nw-swec-rg-01/providers/Microsoft.Network/virtualNetworks/bab-dev-nw-swec-vnet-nonpci-01,snet-dev-nonpci-app-01
