ExistingLogicApp,ExistingLogicAppId,ExistingState,Environment,ResourceType,TriggerName,Frequency,Interval,StartHHMM,TimeZone,VmName,VmResourceId,VmSubscriptionId,VmResourceGroup,VmLocation,DetectedPattern,Role,ProposedLogicApp,GroupKey,Status
bab-baas-dev-AD_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-baas-dev-AD_vms_Scheduled_start,Enabled,dev,baas,ScheduledStartTriggers,Week,1,630,Arab Standard Time,DABASADRTDWV1,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/BAB-DEV-BAAS-AD-RG-01/providers/Microsoft.Compute/virtualMachines/DABASADRTDWV1,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-BAAS-AD-RG-01,swedencentral,AP,appweb,bab-dev-baas-ad-appweb-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|BAB-DEV-BAAS-AD-RG-01|dev|baas|appweb|0630,Ready
bab-aptra-dev_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-aptra-dev_vms_Scheduled_start,Enabled,dev,aptra,ScheduledStartTriggers,Week,1,800,Arab Standard Time,DANCRAPXXDWV1,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-aptra-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DANCRAPXXDWV1,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-aptra-swec-rg-01,swedencentral,AP,appweb,bab-dev-aptra-appweb-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|bab-dev-aptra-swec-rg-01|dev|aptra|appweb|0800,Ready
bab-baas-dev_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-baas-dev_vms_Scheduled_start,Enabled,dev,baas,ScheduledStartTriggers,Week,1,630,Arab Standard Time,DABASAPKADLV01,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/BAB-DEV-BAAS-SWEC-RG-01/providers/Microsoft.Compute/virtualMachines/DABASAPKADLV01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-BAAS-SWEC-RG-01,swedencentral,AP,appweb,bab-dev-baas-appweb-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|BAB-DEV-BAAS-SWEC-RG-01|dev|baas|appweb|0630,Ready
bab-baas-dev_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-baas-dev_vms_Scheduled_start,Enabled,dev,baas,ScheduledStartTriggers,Week,1,630,Arab Standard Time,DABASAPKADLV02,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/BAB-DEV-BAAS-SWEC-RG-01/providers/Microsoft.Compute/virtualMachines/DABASAPKADLV02,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-BAAS-SWEC-RG-01,swedencentral,AP,appweb,bab-dev-baas-appweb-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|BAB-DEV-BAAS-SWEC-RG-01|dev|baas|appweb|0630,Ready
bab-baas-dev_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-baas-dev_vms_Scheduled_start,Enabled,dev,baas,ScheduledStartTriggers,Week,1,630,Arab Standard Time,DABASAPKADLV03,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/BAB-DEV-BAAS-SWEC-RG-01/providers/Microsoft.Compute/virtualMachines/DABASAPKADLV03,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-BAAS-SWEC-RG-01,swedencentral,AP,appweb,bab-dev-baas-appweb-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|BAB-DEV-BAAS-SWEC-RG-01|dev|baas|appweb|0630,Ready
bab-baas-dev_vms_Scheduled_db,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-baas-dev_vms_Scheduled_db,Enabled,dev,baas,ScheduledStartTriggers,Week,1,615,Arab Standard Time,DABASDBRDDLV01,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/BAB-DEV-BAAS-SWEC-RG-01/providers/Microsoft.Compute/virtualMachines/DABASDBRDDLV01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-BAAS-SWEC-RG-01,swedencentral,DB,db,bab-dev-baas-db-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|BAB-DEV-BAAS-SWEC-RG-01|dev|baas|db|0615,Ready
bab-bds-dev_vms_Scheduled_appweb,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-bds-dev_vms_Scheduled_appweb,Enabled,dev,bds,ScheduledStartTriggers,Week,1,800,Arab Standard Time,DABDMAPWBDWV1,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-bds-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DABDMAPWBDWV1,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-bds-swec-rg-01,swedencentral,APWB,appweb,bab-dev-bds-appweb-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|bab-dev-bds-swec-rg-01|dev|bds|appweb|0800,Ready
bab-bds-dev_vms_Scheduled_db,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-bds-dev_vms_Scheduled_db,Enabled,dev,bds,ScheduledStartTriggers,Week,1,750,Arab Standard Time,DABDMDBSQDWV1,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-bds-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DABDMDBSQDWV1,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-bds-swec-rg-01,swedencentral,DB,db,bab-dev-bds-db-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|bab-dev-bds-swec-rg-01|dev|bds|db|0750,Ready
bab-bib-dev_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-bib-dev_vms_Scheduled_start,Enabled,dev,bib,ScheduledStartTriggers,Week,1,800,Arab Standard Time,DABIBADLDDWV1,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-bib-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DABIBADLDDWV1,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-bib-swec-rg-01,swedencentral,AP,appweb,bab-dev-bib-appweb-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|bab-dev-bib-swec-rg-01|dev|bib|appweb|0800,Ready
bab-bib-dev_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-bib-dev_vms_Scheduled_start,Enabled,dev,bib,ScheduledStartTriggers,Week,1,800,Arab Standard Time,DAIBGADLDDWV1,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-bib-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DAIBGADLDDWV1,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-bib-swec-rg-01,swedencentral,AP,appweb,bab-dev-bib-appweb-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|bab-dev-bib-swec-rg-01|dev|bib|appweb|0800,Ready
bab-bpm-dev_vms_Scheduled_appweb,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-bpm-dev_vms_Scheduled_appweb,Enabled,dev,bpm,ScheduledStartTriggers,Week,1,800,Arab Standard Time,DABPMAPWSDLV1,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/BAB-DEV-BPM-SWEC-RG-01/providers/Microsoft.Compute/virtualMachines/DABPMAPWSDLV1,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-BPM-SWEC-RG-01,swedencentral,AP,appweb,bab-dev-bpm-appweb-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|BAB-DEV-BPM-SWEC-RG-01|dev|bpm|appweb|0800,Ready
bab-bpm-dev_vms_Scheduled_db,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-bpm-dev_vms_Scheduled_db,Enabled,dev,bpm,ScheduledStartTriggers,Week,1,750,Arab Standard Time,DABPMDBORDLV1,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-bpm-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DABPMDBORDLV1,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-bpm-swec-rg-01,swedencentral,DB,db,bab-dev-bpm-db-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|bab-dev-bpm-swec-rg-01|dev|bpm|db|0750,Ready
BAB-DEV-CASHINST-SWEC-RG-01,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/BAB-DEV-CASHINST-SWEC-RG-01,Enabled,dev,cashinst,Recurrence,Week,1,800,Arab Standard Time,DATCRAPMODLV1,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/BAB-DEV-CASHINST-SWEC-RG-01/providers/Microsoft.Compute/virtualMachines/DATCRAPMODLV1,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-CASHINST-SWEC-RG-01,swedencentral,AP,appweb,bab-dev-cashinst-appweb-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|BAB-DEV-CASHINST-SWEC-RG-01|dev|cashinst|appweb|0800,Ready
bab-dev-cdc-kfk-appweb-start-01,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-dev-cdc-kfk-appweb-start-01,Enabled,dev,cdc-kfk,ScheduledStartTrigger,Week,1,800,Arab Standard Time,DACDCAPBRDLV01,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-cdc-kfk-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DACDCAPBRDLV01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-cdc-kfk-swec-rg-01,swedencentral,AP,appweb,bab-dev-cdc-kfk-appweb-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|bab-dev-cdc-kfk-swec-rg-01|dev|cdc-kfk|appweb|0800,Ready
