ExistingLogicApp,ExistingLogicAppId,ExistingState,Environment,ResourceType,TriggerName,Frequency,Interval,StartHHMM,TimeZone,VmName,VmResourceId,VmSubscriptionId,VmResourceGroup,VmLocation,DetectedPattern,Role,ProposedLogicApp,GroupKey,Status
ststv2_MUB-dev_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/ststv2_MUB-dev_vms_Scheduled_start,Enabled,dev,mub,Recurrence,Week,1,700,Arab Standard Time,DAMUBDBORDWV2,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-mub-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DAMUBDBORDWV2,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,swedencentral,Ap,appweb,bab-dev-mub-appweb-start-01,,Ready
bab_pbi_sit_vms_Scheduled_db,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab_pbi_sit_vms_Scheduled_db,Enabled,sit,pbi,ScheduledStartTriggers,Week,1,750,Arab Standard Time,DAPPIDBSWV1,/subscriptions/e48414cd-f96d-4414-ae9e-da7fec844f77/resourceGroups/bab-sit-pbi-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DAPPIDBSWV1,e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-pbi-swec-rg-01,swedencentral,DB,DB,bab-sit-pbi-db-start-01,e48414cd-f96d-4414-ae9e-da7fec844f77|bab-sit-pbi-swec-rg-01|sit|pbi|db|0750,Ready
ststv2_DAADOAGAPPDWV01_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/ststv2_DAADOAGAPPDWV01_Scheduled_start,Enabled,core,ado-cloudops,Recurrence,Week,1,800,Arab Standard Time,DAADOAGAPPDWV01,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-ado-cloudops-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DAADOAGAPPDWV01,d88f0b5b-6660-4607-8c6a-395820400912,bab-core-ado-cloudops-swec-rg-01,swedencentral,AP,appweb,bab-core-ado-cloudops-appweb-start-01,d88f0b5b-6660-4607-8c6a-395820400912|bab-core-ado-cloudops-swec-rg-01|core|ado-cloudops|appweb|0800,Ready
ststv2_rmb-core_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/ststv2_rmb-core_vms_Scheduled_start,Disabled,core,ado-rmb,Recurrence,Week,1,800,Arab Standard Time,DARMBDOPLDLV1,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-ado-rmb-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DARMBDOPLDLV1,d88f0b5b-6660-4607-8c6a-395820400912,bab-core-ado-rmb-swec-rg-01,swedencentral,,appweb,bab-core-ado-rmb-appweb-start-01,d88f0b5b-6660-4607-8c6a-395820400912|bab-core-ado-rmb-swec-rg-01|core|ado-rmb|unknown|0800,Ready
ststv2_rmb-core_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/ststv2_rmb-core_vms_Scheduled_start,Disabled,core,ado-rmb,Recurrence,Week,1,800,Arab Standard Time,DARMBDOPLDLV2,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-ado-rmb-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DARMBDOPLDLV2,d88f0b5b-6660-4607-8c6a-395820400912,bab-core-ado-rmb-swec-rg-01,swedencentral,,appweb,bab-core-ado-rmb-appweb-start-01,d88f0b5b-6660-4607-8c6a-395820400912|bab-core-ado-rmb-swec-rg-01|core|ado-rmb|unknown|0800,Ready
ststv2_rmb-core_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/ststv2_rmb-core_vms_Scheduled_start,Disabled,core,ado-rmb,Recurrence,Week,1,800,Arab Standard Time,DARMBDOPLDLV3,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-ado-rmb-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DARMBDOPLDLV3,d88f0b5b-6660-4607-8c6a-395820400912,bab-core-ado-rmb-swec-rg-01,swedencentral,,appweb,bab-core-ado-rmb-appweb-start-01,d88f0b5b-6660-4607-8c6a-395820400912|bab-core-ado-rmb-swec-rg-01|core|ado-rmb|unknown|0800,Ready
ststv2_pki_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/ststv2_pki_vms_Scheduled_start,Enabled,core,pki,Recurrence,Week,1,800,Arab Standard Time,DAPKIAPINCWV1,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-pki-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DAPKIAPINCWV1,d88f0b5b-6660-4607-8c6a-395820400912,bab-core-pki-swec-rg-01,swedencentral,AP,appweb,bab-core-pki-appweb-start-01,d88f0b5b-6660-4607-8c6a-395820400912|bab-core-pki-swec-rg-01|core|pki|appweb|0800,Ready
ststv2_pki_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/ststv2_pki_vms_Scheduled_start,Enabled,core,pki,Recurrence,Week,1,800,Arab Standard Time,DAPKIAPISCWV1,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-pki-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DAPKIAPISCWV1,d88f0b5b-6660-4607-8c6a-395820400912,bab-core-pki-swec-rg-01,swedencentral,AP,appweb,bab-core-pki-appweb-start-01,d88f0b5b-6660-4607-8c6a-395820400912|bab-core-pki-swec-rg-01|core|pki|appweb|0800,Ready
enj-amk_db_dev_vms_Scheduled_start,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/enj-amk_db_dev_vms_Scheduled_start,Enabled,dev,amk,Recurrence,Week,1,745,Arab Standard Time,DAAMKDBDLV01,/subscriptions/44b5560d-2b39-4960-8c57-3447afb62f66/resourceGroups/enj-dev-amk-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DAAMKDBDLV01,44b5560d-2b39-4960-8c57-3447afb62f66,enj-dev-amk-swec-rg-01,uaenorth,DB,db,bab-dev-amk-db-start-01,44b5560d-2b39-4960-8c57-3447afb62f66|enj-dev-amk-swec-rg-01|dev|amk|db|0745,Ready
bab-dev-aptra-appweb-start-01,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-dev-aptra-appweb-start-01,Enabled,dev,aptra,ScheduledStartTriggers,Week,1,800,Arab Standard Time,DANCRAPXXDWV1,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/bab-dev-aptra-swec-rg-01/providers/Microsoft.Compute/virtualMachines/DANCRAPXXDWV1,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-aptra-swec-rg-01,swedencentral,AP,appweb,bab-dev-aptra-appweb-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|bab-dev-aptra-swec-rg-01|dev|aptra|appweb|0800,Ready
bab-dev-devops-appweb-start-01,/subscriptions/d88f0b5b-6660-4607-8c6a-395820400912/resourceGroups/bab-core-auto-weeu-rg-01/providers/Microsoft.Logic/workflows/bab-dev-devops-appweb-start-01,Enabled,dev,baas,ScheduledStartTriggers,Week,1,630,Arab Standard Time,DABASAPKADLV01,/subscriptions/43cc4f11-ffb1-4a0d-8420-0ba3746b4248/resourceGroups/BAB-DEV-BAAS-SWEC-RG-01/providers/Microsoft.Compute/virtualMachines/DABASAPKADLV01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248,BAB-DEV-BAAS-SWEC-RG-01,swedencentral,AP,appweb,bab-dev-baas-appweb-start-01,43cc4f11-ffb1-4a0d-8420-0ba3746b4248|BAB-DEV-BAAS-SWEC-RG-01|dev|baas|appweb|0630,Ready
