"ProposedLogicApp","ExistingLogicApps","VmCount","VMs","Result","Backup","Error"
"bab-core-ado-cloudops-appweb-start-01","ststv2_DAADOAGAPPDWV01_Scheduled_start","1","DAADOAGAPPDWV01","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_DAADOAGAPPDWV01_Scheduled_start-20260830-225738.json",""
"bab-core-ado-rmb-appweb-start-01","ststv2_rmb-core_vms_Scheduled_start","3","DARMBDOPLDLV1;DARMBDOPLDLV2;DARMBDOPLDLV3","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_rmb-core_vms_Scheduled_start-20260830-225752.json",""
"bab-core-pki-appweb-start-01","ststv2_pki_vms_Scheduled_start","2","DAPKIAPINCWV1;DAPKIAPISCWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\ststv2_pki_vms_Scheduled_start-20260830-225805.json",""
"bab-dev-amk-db-start-01","enj-amk_db_dev_vms_Scheduled_start","1","DAAMKDBDLV01","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\enj-amk_db_dev_vms_Scheduled_start-20260830-225819.json",""
"bab-dev-aptra-appweb-start-01","bab-dev-aptra-appweb-start-01","1","DANCRAPXXDWV1","SKIPPED_TARGET_EXISTS","",""
"bab-dev-baas-appweb-start-01","bab-dev-devops-appweb-start-01","3","DABASAPKADLV01;DABASAPKADLV02;DABASAPKADLV03","SKIPPED_TARGET_EXISTS","",""
"bab-dev-baas-db-start-01","bab-dev-baas-db-start-01","1","DABASDBRDDLV01","SKIPPED_TARGET_EXISTS","",""
"bab-dev-bds-appweb-start-01","bab-dev-bds-appweb-start-01","1","DABDMAPWBDWV1","SKIPPED_TARGET_EXISTS","",""
"bab-dev-bds-db-start-01","bab-dev-bds-db-start-01","1","DABDMDBSQDWV1","SKIPPED_TARGET_EXISTS","",""
"bab-dev-bo-appweb-start-01","bab_bo_dev_appsweb_scheduled_start","4","DABORAPXXDWV1;DASAPAPBODWV1;DASAPAPDMDWV1;DASAPWBBODWV1","Success","C:\On-Prem-to-cloud-migration\New-Repo\BAB_CloudOps\BAB_CloudOps-Ankoji\Azure-Scripts\logic-apps\rename-logicapps\BAB-LogicApp-Backups\bab_bo_dev_appsweb_scheduled_start-20260830-225836.json",""
