SubscriptionId,ResourceGroupName,VMName
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,D2MUBAPJBDWV1
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,D2MUBAPJBDWV2
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,D2MUBAPJBDWV3
43cc4f11-ffb1-4a0d-8420-046b4248,bab-dev-mub-swec-rg-01,DAMUBAPCODWV1
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBAPCODWRRRRRR4444SFAM,;LF;A.,F'ASLKF['PAKF['    
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBAPJBDWV1
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBAPMGDWV01
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBCSMAPWV01
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBDBORDLV01
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBDBORDWV2
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBOMSAPWV01
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBOMSAPWV02
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBOMSAPWV03
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBSCMAPWV01
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBSMSAPWV01
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBTRSAPWV01
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBWBAPDWV1
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBWBAPDWV2
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBWBMGDWV01
43cc4f11-ffb1-4a0d-8420-0ba3746b4248,bab-dev-mub-swec-rg-01,DAMUBWBWV01
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-abic-digital-swec-rg-01,DAABDGAPSLV1
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-abic-digital-swec-rg-01,DAABDGORDBSLV1
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-aix-swec-rg-01,DAAXIAPSWV1
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-aix-swec-rg-01,DAAXIDBSQSWV1
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-aix-swec-rg-01,DAAXIWBSWV1
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-abic-dhub-swec-rg-01,DADHUBDBORSLV01
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-abic-ibm-rg-01,DAIBMAPSLV1
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-abic-ibm-rg-01,DAIBMDBSLV1
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mub-swec-rg-01,DAMUBAPCOIWV1
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mub-swec-rg-01,DAMUBAPCOIWV2
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mub-swec-rg-01,DAMUBAPJBIWV1
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mub-swec-rg-01,DAMUBAPJBIWV2
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mub-swec-rg-01,DAMUBAPMGIWV1
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mub-swec-rg-01,DAMUBDBORILV1
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mub-swec-rg-01,DAMUBDBORIWV2
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mub-swec-rg-01,DAMUBWBAPIWV1
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mub-swec-rg-01,DAMUBWBAPIWV2
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mub-swec-rg-01,DAMUBWBMGIWV1
cb801de6-404a-4e76-8e9a-475206cbc2e5,bab-vdi-avd-weeu-rg-01,BABAVDABCDT-0
cb801de6-404a-4e76-8e9a-475206cbc2e5,bab-vdi-avd-weeu-rg-01,BABAVDABCDT-1
