Server,RHEL_Version,Oracle_User,Oracle_Group,Oracle_SIDs,Oracle_Homes,Oratab_Y_Count,DBStart_Status,DBShut_Status,Service_Status,Service_Enabled,Service_Active,Listener_Status,PMON_Status,Recommendation
"10.189.66.213","Red Hat Enterprise Linux release 9.6 (Plow)","YES","oinstall","BOWEB","/u01/app/oracle/product/19.0.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.57.208","Red Hat Enterprise Linux release 8.10 (Ootpa)","YES","dba","APICLOGSDEV","/u01/app/oracle/product/19.0.0/dbhome_1","1","OK","OK","EXISTS","enabled","inactive","NOT_RUNNING","NOT_RUNNING","NO_ACTION"
"10.189.67.146","Red Hat Enterprise Linux release 8.10 (Ootpa)","YES","dba","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","RUNNING","RUNNING","REVIEW"
"10.189.56.223","Red Hat Enterprise Linux release 9.2 (Plow)","YES","dba","BAASDEV","/u01/app/oracle/product/19.0.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.66.223","Red Hat Enterprise Linux release 9.2 (Plow)","YES","dba","BAASSIT","/u01/app/oracle/product/19.0.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.56.221","Red Hat Enterprise Linux Server release 7.9 (Maipo)","YES","dba","BPMDEV","/u01/app/oracle/product/11.2.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.66.221","Red Hat Enterprise Linux Server release 7.9 (Maipo)","YES","dba","BPMDEV","/u01/app/oracle/product/11.2.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.66.197","Red Hat Enterprise Linux release 8.10 (Ootpa)","YES","dba","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","RUNNING","RUNNING","REVIEW"
"10.189.56.210","Red Hat Enterprise Linux release 8.0 (Ootpa)","NO","N/A","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.56.211","Red Hat Enterprise Linux release 8.0 (Ootpa)","NO","N/A","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.56.228","Red Hat Enterprise Linux release 8.10 (Ootpa)","YES","dba","FISDEV","/u01/app/oracle/product/19.3.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.66.212","Red Hat Enterprise Linux release 8.10 (Ootpa)","YES","dba","FISSIT","/u02/app/oracle/product/19.3.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.56.230","Red Hat Enterprise Linux release 9.7 (Plow)","YES","dba","DEXXISDEV","/u01/app/oracle/product/19.3.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","NOT_RUNNING","NO_ACTION"
"10.189.66.216","Red Hat Enterprise Linux release 9.6 (Plow)","YES","dba","DEXXISSIT","/u01/app/oracle/product/19.3.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.56.202","Red Hat Enterprise Linux release 8.8 (Ootpa)","NO","N/A","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.56.201","Red Hat Enterprise Linux release 8.8 (Ootpa)","YES","dba","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.66.219","Red Hat Enterprise Linux release 9.5 (Plow)","YES","oinstall","IBMMSIT","/u01/app/oracle/product/19.0.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.66.211","Red Hat Enterprise Linux release 9.6 (Plow)","YES","oinstall","KMSSIT","/u01/app/oracle/product/19.3.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.66.251","Red Hat Enterprise Linux Server release 7.7 (Maipo)","NO","N/A","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.57.221","Red Hat Enterprise Linux release 9.7 (Plow)","NO","N/A","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.56.225","Red Hat Enterprise Linux release 9.4 (Plow)","YES","oracle","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.56.226","Red Hat Enterprise Linux release 9.4 (Plow)","YES","oracle","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.56.227","Red Hat Enterprise Linux release 9.4 (Plow)","YES","oracle","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.66.225","Red Hat Enterprise Linux release 9.4 (Plow)","YES","oracle","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.66.226","Red Hat Enterprise Linux release 9.4 (Plow)","YES","oracle","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.66.227","Red Hat Enterprise Linux release 9.4 (Plow)","YES","oracle","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.57.206","Red Hat Enterprise Linux release 8.10 (Ootpa)","YES","oinstall","MUBAMSSIT","/u01/app/oracle/product/19.3.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.67.176","Red Hat Enterprise Linux release 8.10 (Ootpa)","YES","oinstall","MUBAMSSIT","/u01/app/oracle/product/19.3.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.56.229","Red Hat Enterprise Linux release 9.7 (Plow)","YES","oinstall","BIBDEV","/u01/app/oracle/product/19.0.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.66.215","Red Hat Enterprise Linux release 9.6 (Plow)","YES","oinstall","BIBSIT","/u01/app/oracle/product/19.0.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.56.238","Red Hat Enterprise Linux release 9.7 (Plow)","YES","dba","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.66.224","SSH_FAILED","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","SSH_FAILED"
"10.189.57.219","Red Hat Enterprise Linux Server release 7.9 (Maipo)","YES","dba","ODSDEV","/u01/app/oracle/product/19.0.0/dbhome_2","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.66.203","Red Hat Enterprise Linux release 9.4 (Plow)","YES","dba","ODSSIT","/u01/app/oracle/product/19.0.0/dbhome_1","1","OK","OK","EXISTS","enabled","inactive","RUNNING","RUNNING","NO_ACTION"
"10.189.56.231","Red Hat Enterprise Linux release 9.7 (Plow)","YES","oinstall","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.66.217","Red Hat Enterprise Linux release 9.7 (Plow)","YES","oinstall","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.56.237","Red Hat Enterprise Linux release 9.7 (Plow)","YES","dba","PICDEV","/u01/app/oracle/product/19.3.0/dbhome_1","1","OK","OK","EXISTS","disabled","inactive","NOT_RUNNING","NOT_RUNNING","ENABLE_REQUIRED"
"10.189.66.237","Red Hat Enterprise Linux release 9.7 (Plow)","YES","dba","PICSIT","/u01/app/oracle/product/19.3.0/dbhome_1","1","OK","OK","EXISTS","enabled","active","RUNNING","RUNNING","NO_ACTION"
"10.189.56.207","Red Hat Enterprise Linux release 8.10 (Ootpa)","NO","N/A","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.56.208","Red Hat Enterprise Linux release 8.10 (Ootpa)","NO","N/A","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.56.209","Red Hat Enterprise Linux release 8.10 (Ootpa)","NO","N/A","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.66.207","Red Hat Enterprise Linux release 8.9 (Ootpa)","NO","N/A","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.66.208","Red Hat Enterprise Linux release 8.9 (Ootpa)","NO","N/A","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.66.209","Red Hat Enterprise Linux release 8.9 (Ootpa)","NO","N/A","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
"10.189.67.145","Red Hat Enterprise Linux Server release 7.9 (Maipo)","YES","dba","POC","/u01/app/oracle/product/19.0.0/dbhome_1","1","OK","OK","MISSING","N/A","N/A","RUNNING","RUNNING","ENABLE_REQUIRED"
"10.189.67.158","Red Hat Enterprise Linux release 8.10 (Ootpa)","YES","dba","RRRSIT","/u01/app/oracle/product/19.3.0/dbhome_1","1","OK","OK","MISSING","N/A","N/A","RUNNING","RUNNING","ENABLE_REQUIRED"
"10.189.56.218","Red Hat Enterprise Linux release 9.6 (Plow)","NO","N/A","N/A","N/A","0","N/A","N/A","MISSING","N/A","N/A","NOT_RUNNING","NOT_RUNNING","REVIEW"
