SubscriptionId,ResourceGroupName,VMName,ConnectionName
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mdw-swec-rg-01,DAACEAPMBILV02,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-MDW-SWEC-RG-01,DAACEAPMBILV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-MDW-SWEC-RG-01,DAACEDBORILV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-aml-ai-rg-01,DAAMLAIPGDBSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-MDW-SWEC-RG-01,daapiapmwilv2,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-AIX-SWEC-RG-01,DAAXIWBSWV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-baas-swec-rg-01,DABASAPKASLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-baas-swec-rg-01,DABASAPKASLV02,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-baas-swec-rg-01,DABASAPKASLV03,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-BAAS-SWEC-RG-01,DABASDBRDSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-BPM-SWEC-RG-01,DABPMAPWSILV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-bpm-swec-rg-01,DABPMDBORSLV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-cdc-kfk-swec-rg-01,DACDCKFKBSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-cdc-kfk-swec-rg-01,DACDCKFKCCCSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-cdc-kfk-swec-rg-01,DACDCKFKCCONSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-cdc-kfk-swec-rg-01,DACDCKFKCSRSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-cdc-kfk-swec-rg-01,DACDCKFKCTSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-crtxup-swec-rg-01,DACTXAPGUILV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-crtxup-swec-rg-01,DACTXAPSWILV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-crtxup-swec-rg-01,DACTXDBORILV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-dex-upg-swec-rg-01,DADEXORDBSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-abic-dhub-swec-rg-01,DADHUBDBORSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-WAS-SWEC-RG-01,DAIBGAPDMILV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-WAS-SWEC-RG-01,DAIBGAPWSILV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-WAS-SWEC-RG-01,DAIBGAPWSILV2,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-abic-ibm-rg-01,DAIBMAPSLV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-ABIC-IBM-RG-01,DAIBMDBSLV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-EIPS-SWEC-RG-01,DAIPSAPGWILV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-EIPS-SWEC-RG-01,DAIPSAPWBILV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-crtxup-swec-rg-01,DAISTAPGUILV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-crtxup-swec-rg-01,DAISTAPSWILV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-kmsup-swec-rg-01,DAKMSDBORILV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-JMS-SWEC-RG-01,DAMFAAPAUILV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mogdb-swec-rg-01,DAMOGDBORSLV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mogdb-swec-rg-01,DAMOGDBORSLV2,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mogdb-swec-rg-01,DAMOGDBORSLV3,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-mdw-swec-rg-01,DAMQHAPQMILV03,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-MDW-SWEC-RG-01,DAMQHAPQMILV2,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-MUB-SWEC-RG-01,DAMUBDBORILV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-new-bib-swec-rg-01,DANBIBDBORSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-ods-swec-rg-01,DAODSORDBSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-orch-swec-rg-01,DAORCHDBSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-pcc-swec-rg-01,DAPCCAPSLV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-pcc-swec-rg-01,DAPCCWBSLV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-rmb-rds-swec-rg-01,DARDSDBORSLV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-rmb-rds-swec-rg-01,DARDSDBORSLV2,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-rmb-rds-swec-rg-01,DARDSDBORSLV3,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-cortex-swec-rg-01,DARECDBORILV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-APEX-SWEC-RG-01,DARRRAPAUILV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-APEX-SWEC-RG-01,DARRRDBORILV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,BAB-SIT-APEX-SWEC-RG-01,DARRRWBWBILV1,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-rsp-swec-rg-01,DARSPBHSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-rsp-swec-rg-01,DARSPDBSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-rsp-swec-rg-01,DARSPWBSLV01,System eth0
e48414cd-f96d-4414-ae9e-da7fec844f77,bab-sit-saq-swec-rg-01,DASAQDBORSLV01,System eth0
