Field Name,Field Type,Mandatory,Choices/Reference,Remarks
request_type,Choice,Yes,"Normal Account, Service Account, AVD Account",Account type selection
company,Choice,Yes,"BAB, ENJAZ, ABIC,ODC",Company selection for UPN generation
first_name,String (64),Yes,,First name for UPN generation (first 3 letters)
last_name,String (64),Yes,,Last name for UPN generation (first 3 letters)
job_title,String (128),Yes,,
department,String (64),Yes,,
employee_type,Choice,Yes,"Permanent, Contract, Temporary, Vendor",
manager,Reference (sys_user),Yes,,
domain,String (128),No,,"Fixed domain for all accounts (set in pipeline, not in form)"
Application_short_name,String (32),Yes,,
