Node,role,ready,Classification,dedicated_taint_count,taints,cpu,mem,labels
"bab-dev-aro-01-zm4qv-worker-rpa-swec-01-979xq","worker","True","DEDICATED",1,"dedicated=uipath:NoSchedule","31.85","57.69","beta.kubernetes.io/arch=amd64;beta.kubernetes.io/instance-type=Standard_D32ls_v5;beta.kubernetes.io/os=linux;failure-domain.beta.kubernetes.io/region=swedencentral;failure-domain.beta.kubernetes.io/zone=swedencentral-2;kubernetes.io/arch=amd64;kubernetes.io/hostname=bab-dev-aro-01-zm4qv-worker-rpa-swec-01-979xq;kubernetes.io/os=linux;node-role.kubernetes.io/worker=;node.kubernetes.io/instance-type=Standard_D32ls_v5;node.openshift.io/os_id=rhcos;topology.disk.csi.azure.com/zone=swedencentral-2;topology.kubernetes.io/region=swedencentral;topology.kubernetes.io/zone=swedencentral-2"
"bab-dev-aro-01-zm4qv-worker-rpa-swec-02-s9mnt","worker","True","DEDICATED",1,"dedicated=uipath:NoSchedule","31.85","57.69","beta.kubernetes.io/arch=amd64;beta.kubernetes.io/instance-type=Standard_D32ls_v5;beta.kubernetes.io/os=linux;failure-domain.beta.kubernetes.io/region=swedencentral;failure-domain.beta.kubernetes.io/zone=swedencentral-2;kubernetes.io/arch=amd64;kubernetes.io/hostname=bab-dev-aro-01-zm4qv-worker-rpa-swec-02-s9mnt;kubernetes.io/os=linux;node-role.kubernetes.io/worker=;node.kubernetes.io/instance-type=Standard_D32ls_v5;node.openshift.io/os_id=rhcos;topology.disk.csi.azure.com/zone=swedencentral-2;topology.kubernetes.io/region=swedencentral;topology.kubernetes.io/zone=swedencentral-2"
"bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","worker","True","SHARED",0,"","15.89","116.69","beta.kubernetes.io/arch=amd64;beta.kubernetes.io/instance-type=Standard_E16s_v5;beta.kubernetes.io/os=linux;failure-domain.beta.kubernetes.io/region=swedencentral;failure-domain.beta.kubernetes.io/zone=swedencentral-1;kubernetes.io/arch=amd64;kubernetes.io/hostname=bab-dev-aro-01-zm4qv-worker-swec-01-h4skf;kubernetes.io/os=linux;node-role.kubernetes.io/worker=;node.kubernetes.io/instance-type=Standard_E16s_v5;node.openshift.io/os_id=rhcos;squid-proxy=true;topology.disk.csi.azure.com/zone=swedencentral-1;topology.kubernetes.io/region=swedencentral;topology.kubernetes.io/zone=swedencentral-1"
"bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","worker","True","SHARED",0,"","15.89","116.69","beta.kubernetes.io/arch=amd64;beta.kubernetes.io/instance-type=Standard_E16s_v5;beta.kubernetes.io/os=linux;failure-domain.beta.kubernetes.io/region=swedencentral;failure-domain.beta.kubernetes.io/zone=swedencentral-2;kubernetes.io/arch=amd64;kubernetes.io/hostname=bab-dev-aro-01-zm4qv-worker-swec-02-65kw7;kubernetes.io/os=linux;node-role.kubernetes.io/worker=;node.kubernetes.io/instance-type=Standard_E16s_v5;node.openshift.io/os_id=rhcos;topology.disk.csi.azure.com/zone=swedencentral-2;topology.kubernetes.io/region=swedencentral;topology.kubernetes.io/zone=swedencentral-2"
"bab-dev-aro-01-zm4qv-worker-swec-03-pdt28","worker","True","SHARED",0,"","15.89","116.69","beta.kubernetes.io/arch=amd64;beta.kubernetes.io/instance-type=Standard_E16s_v5;beta.kubernetes.io/os=linux;failure-domain.beta.kubernetes.io/region=swedencentral;failure-domain.beta.kubernetes.io/zone=swedencentral-3;kubernetes.io/arch=amd64;kubernetes.io/hostname=bab-dev-aro-01-zm4qv-worker-swec-03-pdt28;kubernetes.io/os=linux;node-role.kubernetes.io/worker=;node.kubernetes.io/instance-type=Standard_E16s_v5;node.openshift.io/os_id=rhcos;topology.disk.csi.azure.com/zone=swedencentral-3;topology.kubernetes.io/region=swedencentral;topology.kubernetes.io/zone=swedencentral-3"
"bab-dev-aro-01-zm4qv-worker-swec-04-25fmv","worker","True","SHARED",0,"","15.89","116.69","beta.kubernetes.io/arch=amd64;beta.kubernetes.io/instance-type=Standard_E16s_v5;beta.kubernetes.io/os=linux;failure-domain.beta.kubernetes.io/region=swedencentral;failure-domain.beta.kubernetes.io/zone=swedencentral-1;kubernetes.io/arch=amd64;kubernetes.io/hostname=bab-dev-aro-01-zm4qv-worker-swec-04-25fmv;kubernetes.io/os=linux;node-role.kubernetes.io/worker=;node.kubernetes.io/instance-type=Standard_E16s_v5;node.openshift.io/os_id=rhcos;topology.disk.csi.azure.com/zone=swedencentral-1;topology.kubernetes.io/region=swedencentral;topology.kubernetes.io/zone=swedencentral-1"
"bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r","worker","True","SHARED",0,"","15.89","116.69","beta.kubernetes.io/arch=amd64;beta.kubernetes.io/instance-type=Standard_E16s_v5;beta.kubernetes.io/os=linux;failure-domain.beta.kubernetes.io/region=swedencentral;failure-domain.beta.kubernetes.io/zone=swedencentral-2;kubernetes.io/arch=amd64;kubernetes.io/hostname=bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r;kubernetes.io/os=linux;node-role.kubernetes.io/worker=;node.kubernetes.io/instance-type=Standard_E16s_v5;node.openshift.io/os_id=rhcos;topology.disk.csi.azure.com/zone=swedencentral-2;topology.kubernetes.io/region=swedencentral;topology.kubernetes.io/zone=swedencentral-2"
"bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6","worker","True","SHARED",0,"","15.89","116.69","beta.kubernetes.io/arch=amd64;beta.kubernetes.io/instance-type=Standard_E16s_v5;beta.kubernetes.io/os=linux;failure-domain.beta.kubernetes.io/region=swedencentral;failure-domain.beta.kubernetes.io/zone=swedencentral-3;kubernetes.io/arch=amd64;kubernetes.io/hostname=bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6;kubernetes.io/os=linux;node-role.kubernetes.io/worker=;node.kubernetes.io/instance-type=Standard_E16s_v5;node.openshift.io/os_id=rhcos;topology.disk.csi.azure.com/zone=swedencentral-3;topology.kubernetes.io/region=swedencentral;topology.kubernetes.io/zone=swedencentral-3"
"bab-dev-aro-01-zm4qv-worker-swec-07-48zfr","worker","True","SHARED",0,"","15.89","116.69","beta.kubernetes.io/arch=amd64;beta.kubernetes.io/instance-type=Standard_E16s_v5;beta.kubernetes.io/os=linux;failure-domain.beta.kubernetes.io/region=swedencentral;failure-domain.beta.kubernetes.io/zone=swedencentral-2;kubernetes.io/arch=amd64;kubernetes.io/hostname=bab-dev-aro-01-zm4qv-worker-swec-07-48zfr;kubernetes.io/os=linux;node-role.kubernetes.io/worker=;node.kubernetes.io/instance-type=Standard_E16s_v5;node.openshift.io/os_id=rhcos;topology.disk.csi.azure.com/zone=swedencentral-2;topology.kubernetes.io/region=swedencentral;topology.kubernetes.io/zone=swedencentral-2"
"bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","worker","True","SHARED",0,"","15.89","116.69","beta.kubernetes.io/arch=amd64;beta.kubernetes.io/instance-type=Standard_E16s_v5;beta.kubernetes.io/os=linux;failure-domain.beta.kubernetes.io/region=swedencentral;failure-domain.beta.kubernetes.io/zone=swedencentral-1;kubernetes.io/arch=amd64;kubernetes.io/hostname=bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp;kubernetes.io/os=linux;node-role.kubernetes.io/worker=;node.kubernetes.io/instance-type=Standard_E16s_v5;node.openshift.io/os_id=rhcos;topology.disk.csi.azure.com/zone=swedencentral-1;topology.kubernetes.io/region=swedencentral;topology.kubernetes.io/zone=swedencentral-1"
