Namespace,Pod_Name,Node,Toleration_Key,Operator,Toleration_Value,Toleration_Effect,Toleration_Seconds
"bab-azure-devops-agents","ado-agent-cortex-dev-n5r29-7mzn5","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","node.kubernetes.io/not-ready","Exists","","NoExecute",300
"bab-azure-devops-agents","ado-agent-cortex-dev-n5r29-7mzn5","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","node.kubernetes.io/unreachable","Exists","","NoExecute",300
"bab-azure-devops-agents","ado-agent-cortex-dev-n5r29-7mzn5","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","node.kubernetes.io/memory-pressure","Exists","","NoSchedule",""
"bab-azure-devops-agents","azure-devops-agent-baas-5dfd688444-bg5lq","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","node.kubernetes.io/not-ready","Exists","","NoExecute",300
"bab-azure-devops-agents","azure-devops-agent-baas-5dfd688444-bg5lq","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","node.kubernetes.io/unreachable","Exists","","NoExecute",300
"bab-azure-devops-agents","azure-devops-agent-baas-5dfd688444-bg5lq","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","node.kubernetes.io/memory-pressure","Exists","","NoSchedule",""
"bab-azure-devops-agents","azure-devops-agent-baas-5dfd688444-k4c4f","bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6","node.kubernetes.io/not-ready","Exists","","NoExecute",300
"bab-azure-devops-agents","azure-devops-agent-baas-5dfd688444-k4c4f","bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6","node.kubernetes.io/unreachable","Exists","","NoExecute",300
"bab-azure-devops-agents","azure-devops-agent-baas-5dfd688444-k4c4f","bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6","node.kubernetes.io/memory-pressure","Exists","","NoSchedule",""
"bab-azure-devops-agents","azure-devops-agent-bib-77cc75bfc6-9xjwn","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","node.kubernetes.io/not-ready","Exists","","NoExecute",300
"bab-azure-devops-agents","azure-devops-agent-bib-77cc75bfc6-9xjwn","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","node.kubernetes.io/unreachable","Exists","","NoExecute",300
"bab-azure-devops-agents","azure-devops-agent-bib-77cc75bfc6-9xjwn","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","node.kubernetes.io/memory-pressure","Exists","","NoSchedule",""
"bab-azure-devops-agents","azure-devops-agent-bib-77cc75bfc6-hskl8","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","node.kubernetes.io/not-ready","Exists","","NoExecute",300
"bab-azure-devops-agents","azure-devops-agent-bib-77cc75bfc6-hskl8","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","node.kubernetes.io/unreachable","Exists","","NoExecute",300
"bab-azure-devops-agents","azure-devops-agent-bib-77cc75bfc6-hskl8","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","node.kubernetes.io/memory-pressure","Exists","","NoSchedule",""
"bab-azure-devops-agents","azure-devops-agent-bib-77cc75bfc6-l7xqc","bab-dev-aro-01-zm4qv-worker-swec-07-48zfr","node.kubernetes.io/not-ready","Exists","","NoExecute",300
"bab-azure-devops-agents","azure-devops-agent-bib-77cc75bfc6-l7xqc","bab-dev-aro-01-zm4qv-worker-swec-07-48zfr","node.kubernetes.io/unreachable","Exists","","NoExecute",300
"bab-azure-devops-agents","azure-devops-agent-bib-77cc75bfc6-l7xqc","bab-dev-aro-01-zm4qv-worker-swec-07-48zfr","node.kubernetes.io/memory-pressure","Exists","","NoSchedule",""
"bab-azure-devops-agents","azure-devops-agent-bib-liquibase-84db6f87f8-28n4x","bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","node.kubernetes.io/not-ready","Exists","","NoExecute",300
"bab-azure-devops-agents","azure-devops-agent-bib-liquibase-84db6f87f8-28n4x","bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","node.kubernetes.io/unreachable","Exists","","NoExecute",300
"bab-azure-devops-agents","azure-devops-agent-bib-liquibase-84db6f87f8-28n4x","bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","node.kubernetes.io/memory-pressure","Exists","","NoSchedule",""
"bab-azure-devops-agents","azure-devops-agent-dev-sql-5b688d5d8d-szxvf","bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r","node.kubernetes.io/not-ready","Exists","","NoExecute",300
"bab-azure-devops-agents","azure-devops-agent-dev-sql-5b688d5d8d-szxvf","bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r","node.kubernetes.io/unreachable","Exists","","NoExecute",300
