Namespace,Controller,Desired_Replicas,CPU_Per_Replica,Mem_GiB_Per_Replica,Desired_CPU_Cores,Desired_Mem_GiB,Pool_Hint
openshift-logging,StatefulSet/lokistack-ingester,2,2.0000,8.0000,4.0000,16.0000,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-scanner,1,3.0000,4.0000,3.0000,4.0000,SHARED
bab-dev-rpa-apps-01,Deployment/du-digitizer-worker-deployment,3,1.0000,2.0000,3.0000,6.0000,SHARED
openshift-logging,Deployment/lokistack-querier,2,1.5000,3.0000,3.0000,6.0000,SHARED
babamldev,StatefulSet/sas-rabbitmq-server,3,1.0000,2.0000,3.0000,6.0000,DEDICATED
bab-dev-rpa-apps-01,Deployment/aievents-deploy,5,0.5000,0.2500,2.5000,1.2500,SHARED
bab-dev-rpa-apps-01,Deployment/orchestrator,2,1.0000,2.0000,2.0000,4.0000,SHARED
openshift-logging,Deployment/lokistack-distributor,2,1.0000,1.0000,2.0000,2.0000,SHARED
openshift-logging,Deployment/lokistack-query-frontend,2,1.0000,1.0000,2.0000,2.0000,SHARED
bab-dev-rpa-apps-01,Deployment/du-digitizer,3,0.5000,1.0000,1.5000,3.0000,SHARED
bab-dev-rpa-apps-01,Deployment/identity-service-api,2,0.6000,0.8789,1.2000,1.7578,SHARED
bab-dev-rpa-apps-01,Deployment/platform-license-accountant,2,0.6000,0.7812,1.2000,1.5625,SHARED
bab-dev-rpa-apps-01,Deployment/platform-license-accountant-worker,2,0.6000,0.7812,1.2000,1.5625,SHARED
bab-dev-cp4i,Deployment/ibm-mq-operator,1,1.0000,1.0000,1.0000,1.0000,SHARED
bab-dev-cp4i,Deployment/integration-navigator-ibm-inte-3c22-deployment,1,1.0000,1.0000,1.0000,1.0000,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-me-agent,1,1.0000,3.0000,1.0000,3.0000,SHARED
bab-dev-dgpdpl-bigid-01,Deployment/bigid-reports,1,1.0000,1.0000,1.0000,1.0000,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-authentication-manager,1,1.0000,1.4648,1.0000,1.4648,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-camunda-engine,1,1.0000,7.8125,1.0000,7.8125,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-clamav-service,1,1.0000,2.9297,1.0000,2.9297,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-connectors-manager,1,1.0000,1.4648,1.0000,1.4648,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-onboarding-service,1,1.0000,1.4648,1.0000,1.4648,SHARED
bab-dev-dgpdpl-bigid-privacy-01,Deployment/pp-bigidme-user-request-manager,1,1.0000,1.4648,1.0000,1.4648,SHARED
bab-dev-rpa-apps-01,Deployment/aistorage,2,0.5000,1.0000,1.0000,2.0000,SHARED
bab-dev-rpa-apps-01,Deployment/platform-messagebus-service,10,0.1000,0.7812,1.0000,7.8125,SHARED
openshift-logging,Deployment/lokistack-gateway,2,0.5000,0.4883,1.0000,0.9766,SHARED
bab-dev-cp4i,StatefulSet/apic-dev-gw,1,1.0000,8.0000,1.0000,8.0000,SHARED
bab-dev-cp4i,StatefulSet/cs-keycloak,1,1.0000,1.0000,1.0000,1.0000,SHARED
bab-dev-newbib,StatefulSet/ex-aao-ss,2,0.5000,0.5000,1.0000,1.0000,SHARED
bab-devops-sonarqube,StatefulSet/sonarqube-sonarqube,1,1.0000,2.0000,1.0000,2.0000,SHARED
openshift-logging,StatefulSet/lokistack-compactor,1,1.0000,2.0000,1.0000,2.0000,SHARED
openshift-logging,StatefulSet/lokistack-index-gateway,2,0.5000,1.0000,1.0000,2.0000,SHARED
babamldev,Deployment/sas-formats,1,0.8500,0.0586,0.8500,0.0586,SHARED
bab-dev-newbib,Deployment/ofscheduler,1,0.8000,1.8623,0.8000,1.8623,SHARED
bab-dev-rpa-apps-01,Deployment/platform-location-service,2,0.4000,0.4883,0.8000,0.9766,SHARED
bab-dev-rpa-apps-01,Deployment/platform-organization-management-service,2,0.4000,0.5859,0.8000,1.1719,SHARED
bab-dev-rpa-apps-01,Deployment/platform-portal,2,0.4000,0.2930,0.8000,0.5859,SHARED
bab-dev-rpa-apps-01,Deployment/du-documentmanager-dm,3,0.2500,0.5000,0.7500,1.5000,SHARED
babamldev,StatefulSet/sas-consul-server,3,0.2500,0.1465,0.7500,0.4395,DEDICATED
bab-dev-newbib,Deployment/arxlauncher,1,0.6000,0.9277,0.6000,0.9277,SHARED
bab-dev-rpa-apps-01,Deployment/9aae22bb-4b8a-431f-8685-5b90eb13e509-22,1,0.6000,2.0977,0.6000,2.0977,SHARED
