Namespace,Pod,CPU_Usage,Memory_Usage
bab-azure-devops-agents,ado-agent-cortex-dev-n5r29-7mzn5,0m,129Mi
bab-azure-devops-agents,azure-devops-agent-baas-5dfd688444-bg5lq,0m,1298Mi
bab-azure-devops-agents,azure-devops-agent-baas-5dfd688444-k4c4f,0m,2628Mi
bab-azure-devops-agents,azure-devops-agent-bib-77cc75bfc6-hskl8,0m,94Mi
bab-azure-devops-agents,azure-devops-agent-bib-liquibase-84db6f87f8-28n4x,0m,956Mi
bab-azure-devops-agents,azure-devops-agent-dev-sql-5b688d5d8d-szxvf,0m,132Mi
bab-azure-devops-agents,azure-devops-agent-ibm-55cd7bd5b7-66dfc,0m,1413Mi
bab-azure-devops-agents,azure-devops-agent-ibm-55cd7bd5b7-xwm6b,0m,795Mi
bab-azure-devops-agents,azure-devops-agent-java-microservices-78b69b7947-vlp8k,0m,615Mi
bab-azure-devops-agents,azure-devops-agent-tosca-788c948794-89c9q,0m,188Mi
bab-azure-devops-agents,azure-devops-agent-tosca-788c948794-kvcd8,0m,178Mi
bab-azure-devops-agents,azure-devops-agent-tosca-pwsh-57b6d79d4d-g4zb2,0m,237Mi
bab-azure-devops-agents,azure-devops-agents-nonprod-enjaz-website-77bbc5df7d-2p9vn,0m,2865Mi
bab-azure-devops-agents,azure-devops-agents-srvnow-78cd847bb8-4292h,0m,125Mi
bab-azure-devops-agents,azure-devops-agents-trivy-5d9d6877d4-d9rjl,0m,176Mi
bab-dev-baasplatform-apps-01,baas-sdk-manager-api-runtime-79dd6f55fd-2mjsh,0m,860Mi
bab-dev-baasplatform-apps-01,baas-turmeric-b2b-runtime-8646d9fdff-mhvjj,2m,921Mi
bab-dev-baasplatform-apps-01,baas-turmeric-ob-runtime-7dccd5ddf-q5jzh,2m,788Mi
bab-dev-baasplatform-apps-01,baas-turmeric-opb-runtime-5fb685d4f-p2rt6,1m,828Mi
bab-dev-baasplatform-apps-01,igcb-arx22-al-5746c8ddc-chj6w,0m,378Mi
bab-dev-baasplatform-apps-01,igcb-arx22-launcher-678c574c4-gjv9r,0m,233Mi
bab-dev-baasplatform-apps-01,igcb-arx22-sso-6f75958d9b-w6hj9,0m,318Mi
bab-dev-baasplatform-apps-01,igcb-arx22-web-6c6b6bd55c-2jrcj,2m,744Mi
bab-dev-baasplatform-apps-01,igcb-itur-api-analytics-7f8bb5d967-xbtx9,3m,762Mi
bab-dev-baasplatform-apps-01,igcb-itur-api-billing-7f678c7b7c-8nbjz,2m,796Mi
bab-dev-baasplatform-apps-01,igcb-itur-api-mpp-5bc9b96487-n5rzn,1m,919Mi
bab-dev-baasplatform-apps-01,igcb-itur-api-pulse-65f7b9c797-fd5fw,2m,1009Mi
bab-dev-baasplatform-apps-01,igcb-itur-api-sb-analytics-f9944bcdf-4pk29,8m,855Mi
bab-dev-baasplatform-apps-01,igcb-itur-api-sb-billing-648d467497-jfdm6,3m,1065Mi
bab-dev-baasplatform-apps-01,igcb-itur-api-studio-5b5dc69bf-mc7ff,0m,281Mi
bab-dev-baasplatform-apps-01,igcb-itur-runtime-54d658cc-hrv8d,1m,697Mi
bab-dev-baasplatform-apps-01,igcb-itur-ui-mpp-648cf775cc-nr47v,0m,81Mi
bab-dev-baasplatform-apps-01,igcb-itur-ui-pulse-95b9b7f98-bmgqt,0m,92Mi
bab-dev-baasplatform-apps-01,igcb-itur-ui-sdk-ui-69d7cc585b-d7jjr,0m,12Mi
bab-dev-baasplatform-apps-01,igcb-itur-ui-sdk-ui-manager-748975bbf6-kqjpl,0m,12Mi
bab-dev-baasplatform-apps-01,igcb-itur-ui-studio-5bb85c6479-4c9kv,0m,225Mi
bab-dev-baasplatform-apps-01,igcb-sdk-runtime-7fc6bf5464-72nmj,61m,1438Mi
bab-dev-baasplatform-apps-01,igcb-sdk-runtime-api-sb-778898bb87-drjxh,0m,857Mi
bab-dev-baasplatform-apps-01,igcb-sdk-runtime-onsite-prod-8544f6dfc-n4mz8,1m,812Mi
bab-dev-baasplatform-apps-01,igcb-sdk-runtime-sb-65c8987895-ghszq,2m,862Mi
bab-dev-cp4i,apic-dev-a7s-director-55fd4f8f78-j6x8r,7m,83Mi
bab-dev-cp4i,apic-dev-a7s-ingestion-0,12m,3508Mi
bab-dev-cp4i,apic-dev-a7s-mtls-gw-65f7b8ddf7-qbz6r,0m,8Mi
bab-dev-cp4i,apic-dev-a7s-storage-0,7m,6075Mi
bab-dev-cp4i,apic-dev-gw-0,99m,1822Mi
bab-dev-cp4i,apic-dev-mgmt-analytics-proxy-7c88954b6c-jmsz6,6m,80Mi
bab-dev-cp4i,apic-dev-mgmt-analytics-push-29769675-nbfsb,0m,107Mi
bab-dev-cp4i,apic-dev-mgmt-analytics-ui-54786d94d-h57mh,0m,3Mi
bab-dev-cp4i,apic-dev-mgmt-apim-ff9b7f957-fpmzs,10m,103Mi
bab-dev-cp4i,apic-dev-mgmt-client-downloads-server-574994c7fd-2x6vm,0m,11Mi
bab-dev-cp4i,apic-dev-mgmt-consumer-catalog-5446b76557-6pnqh,0m,57Mi
