Namespace,Pod_Name,Phase,Node,Effective_CPU_Request_Cores,Effective_Memory_Request_GiB,Container_Count,InitContainer_Count,Controller
"bab-azure-devops-agents","ado-agent-cortex-dev-n5r29-7mzn5","Running","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","1","2","1","0","Job/ado-agent-cortex-dev-n5r29"
"bab-azure-devops-agents","azure-devops-agent-baas-5dfd688444-bg5lq","Running","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","0.5","1","1","0","ReplicaSet/azure-devops-agent-baas-5dfd688444"
"bab-azure-devops-agents","azure-devops-agent-baas-5dfd688444-k4c4f","Running","bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6","0.5","1","1","0","ReplicaSet/azure-devops-agent-baas-5dfd688444"
"bab-azure-devops-agents","azure-devops-agent-bib-77cc75bfc6-9xjwn","Failed","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","0.5","1","1","0","ReplicaSet/azure-devops-agent-bib-77cc75bfc6"
"bab-azure-devops-agents","azure-devops-agent-bib-77cc75bfc6-hskl8","Running","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","0.5","1","1","0","ReplicaSet/azure-devops-agent-bib-77cc75bfc6"
"bab-azure-devops-agents","azure-devops-agent-bib-77cc75bfc6-l7xqc","Succeeded","bab-dev-aro-01-zm4qv-worker-swec-07-48zfr","0.5","1","1","0","ReplicaSet/azure-devops-agent-bib-77cc75bfc6"
"bab-azure-devops-agents","azure-devops-agent-bib-liquibase-84db6f87f8-28n4x","Running","bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","0.5","1","1","0","ReplicaSet/azure-devops-agent-bib-liquibase-84db6f87f8"
"bab-azure-devops-agents","azure-devops-agent-dev-sql-5b688d5d8d-szxvf","Running","bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r","0.5","1","1","0","ReplicaSet/azure-devops-agent-dev-sql-5b688d5d8d"
"bab-azure-devops-agents","azure-devops-agent-ibm-55cd7bd5b7-66dfc","Running","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","0.5","1","1","0","ReplicaSet/azure-devops-agent-ibm-55cd7bd5b7"
"bab-azure-devops-agents","azure-devops-agent-ibm-55cd7bd5b7-xwm6b","Running","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","0.5","1","1","0","ReplicaSet/azure-devops-agent-ibm-55cd7bd5b7"
"bab-azure-devops-agents","azure-devops-agent-java-microservices-78b69b7947-vlp8k","Running","bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6","0.5","1","1","0","ReplicaSet/azure-devops-agent-java-microservices-78b69b7947"
"bab-azure-devops-agents","azure-devops-agent-tosca-788c948794-89c9q","Running","bab-dev-aro-01-zm4qv-worker-swec-04-25fmv","0.5","1","1","0","ReplicaSet/azure-devops-agent-tosca-788c948794"
"bab-azure-devops-agents","azure-devops-agent-tosca-788c948794-kvcd8","Running","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","0.5","1","1","0","ReplicaSet/azure-devops-agent-tosca-788c948794"
"bab-azure-devops-agents","azure-devops-agent-tosca-pwsh-57b6d79d4d-g4zb2","Running","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","0.5","1","1","0","ReplicaSet/azure-devops-agent-tosca-pwsh-57b6d79d4d"
"bab-azure-devops-agents","azure-devops-agents-nonprod-enjaz-website-77bbc5df7d-2p9vn","Running","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","0.5","1","1","0","ReplicaSet/azure-devops-agents-nonprod-enjaz-website-77bbc5df7d"
"bab-azure-devops-agents","azure-devops-agents-srvnow-78cd847bb8-4292h","Running","bab-dev-aro-01-zm4qv-worker-swec-04-25fmv","0.5","1","1","0","ReplicaSet/azure-devops-agents-srvnow-78cd847bb8"
"bab-azure-devops-agents","azure-devops-agents-trivy-5d9d6877d4-d9rjl","Running","bab-dev-aro-01-zm4qv-worker-swec-04-25fmv","0.5","1","1","0","ReplicaSet/azure-devops-agents-trivy-5d9d6877d4"
"bab-azure-devops-agents","images-cleanup-29769360-dcxdt","Succeeded","bab-dev-aro-01-zm4qv-worker-swec-03-pdt28","0.5","1","1","0","Job/images-cleanup-29769360"
"bab-dev-baasplatform-apps-01","baas-sdk-manager-api-runtime-544cb98ccc-25b7g","Failed","bab-dev-aro-01-zm4qv-worker-swec-07-48zfr","0.25","1","1","0","ReplicaSet/baas-sdk-manager-api-runtime-544cb98ccc"
"bab-dev-baasplatform-apps-01","baas-sdk-manager-api-runtime-544cb98ccc-2djjv","Failed","bab-dev-aro-01-zm4qv-worker-swec-03-pdt28","0.25","1","1","0","ReplicaSet/baas-sdk-manager-api-runtime-544cb98ccc"
"bab-dev-baasplatform-apps-01","baas-sdk-manager-api-runtime-544cb98ccc-48vcd","Failed","bab-dev-aro-01-zm4qv-worker-swec-07-48zfr","0.25","1","1","0","ReplicaSet/baas-sdk-manager-api-runtime-544cb98ccc"
