Namespace,Pod_Name,Node,Node_Class,Actually_On_Dedicated_Node,Matching_Dedicated_Taint_Toleration,Has_NodeSelector_Or_Affinity,Dedicated_Target_Keys,CPU_Request_Cores,Memory_Request_GiB,Controller
"bab-azure-devops-agents","ado-agent-cortex-dev-n5r29-7mzn5","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","1","2","Job/ado-agent-cortex-dev-n5r29"
"bab-azure-devops-agents","azure-devops-agent-baas-5dfd688444-bg5lq","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agent-baas-5dfd688444"
"bab-azure-devops-agents","azure-devops-agent-baas-5dfd688444-k4c4f","bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agent-baas-5dfd688444"
"bab-azure-devops-agents","azure-devops-agent-bib-77cc75bfc6-hskl8","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agent-bib-77cc75bfc6"
"bab-azure-devops-agents","azure-devops-agent-bib-liquibase-84db6f87f8-28n4x","bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agent-bib-liquibase-84db6f87f8"
"bab-azure-devops-agents","azure-devops-agent-dev-sql-5b688d5d8d-szxvf","bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agent-dev-sql-5b688d5d8d"
"bab-azure-devops-agents","azure-devops-agent-ibm-55cd7bd5b7-66dfc","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agent-ibm-55cd7bd5b7"
"bab-azure-devops-agents","azure-devops-agent-ibm-55cd7bd5b7-xwm6b","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agent-ibm-55cd7bd5b7"
"bab-azure-devops-agents","azure-devops-agent-java-microservices-78b69b7947-vlp8k","bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agent-java-microservices-78b69b7947"
"bab-azure-devops-agents","azure-devops-agent-tosca-788c948794-89c9q","bab-dev-aro-01-zm4qv-worker-swec-04-25fmv","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agent-tosca-788c948794"
"bab-azure-devops-agents","azure-devops-agent-tosca-788c948794-kvcd8","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agent-tosca-788c948794"
"bab-azure-devops-agents","azure-devops-agent-tosca-pwsh-57b6d79d4d-g4zb2","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agent-tosca-pwsh-57b6d79d4d"
"bab-azure-devops-agents","azure-devops-agents-nonprod-enjaz-website-77bbc5df7d-2p9vn","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agents-nonprod-enjaz-website-77bbc5df7d"
"bab-azure-devops-agents","azure-devops-agents-srvnow-78cd847bb8-4292h","bab-dev-aro-01-zm4qv-worker-swec-04-25fmv","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agents-srvnow-78cd847bb8"
"bab-azure-devops-agents","azure-devops-agents-trivy-5d9d6877d4-d9rjl","bab-dev-aro-01-zm4qv-worker-swec-04-25fmv","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.5","1","ReplicaSet/azure-devops-agents-trivy-5d9d6877d4"
"bab-dev-baasplatform-apps-01","baas-sdk-manager-api-runtime-79dd6f55fd-2mjsh","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","1","ReplicaSet/baas-sdk-manager-api-runtime-79dd6f55fd"
"bab-dev-baasplatform-apps-01","baas-turmeric-b2b-runtime-8646d9fdff-mhvjj","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","1","ReplicaSet/baas-turmeric-b2b-runtime-8646d9fdff"
"bab-dev-baasplatform-apps-01","baas-turmeric-ob-runtime-7dccd5ddf-q5jzh","bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","1","ReplicaSet/baas-turmeric-ob-runtime-7dccd5ddf"
"bab-dev-baasplatform-apps-01","baas-turmeric-opb-runtime-5fb685d4f-p2rt6","bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","1","ReplicaSet/baas-turmeric-opb-runtime-5fb685d4f"
"bab-dev-baasplatform-apps-01","igcb-arx22-al-5746c8ddc-chj6w","bab-dev-aro-01-zm4qv-worker-swec-04-25fmv","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.2","0.24","ReplicaSet/igcb-arx22-al-5746c8ddc"
"bab-dev-baasplatform-apps-01","igcb-arx22-launcher-678c574c4-gjv9r","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.2","0.24","ReplicaSet/igcb-arx22-launcher-678c574c4"
"bab-dev-baasplatform-apps-01","igcb-arx22-sso-6f75958d9b-w6hj9","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","0.24","ReplicaSet/igcb-arx22-sso-6f75958d9b"
"bab-dev-baasplatform-apps-01","igcb-arx22-web-6c6b6bd55c-2jrcj","bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.2","0.24","ReplicaSet/igcb-arx22-web-6c6b6bd55c"
"bab-dev-baasplatform-apps-01","igcb-itur-api-analytics-7f8bb5d967-xbtx9","bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","0.97","ReplicaSet/igcb-itur-api-analytics-7f8bb5d967"
"bab-dev-baasplatform-apps-01","igcb-itur-api-billing-7f678c7b7c-8nbjz","bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","0.97","ReplicaSet/igcb-itur-api-billing-7f678c7b7c"
"bab-dev-baasplatform-apps-01","igcb-itur-api-mpp-5bc9b96487-n5rzn","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","0.97","ReplicaSet/igcb-itur-api-mpp-5bc9b96487"
"bab-dev-baasplatform-apps-01","igcb-itur-api-pulse-65f7b9c797-fd5fw","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","0.97","ReplicaSet/igcb-itur-api-pulse-65f7b9c797"
"bab-dev-baasplatform-apps-01","igcb-itur-api-sb-analytics-f9944bcdf-4pk29","bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","0.97","ReplicaSet/igcb-itur-api-sb-analytics-f9944bcdf"
"bab-dev-baasplatform-apps-01","igcb-itur-api-sb-billing-648d467497-jfdm6","bab-dev-aro-01-zm4qv-worker-swec-04-25fmv","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","0.97","ReplicaSet/igcb-itur-api-sb-billing-648d467497"
"bab-dev-baasplatform-apps-01","igcb-itur-api-studio-5b5dc69bf-mc7ff","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","0.97","ReplicaSet/igcb-itur-api-studio-5b5dc69bf"
"bab-dev-baasplatform-apps-01","igcb-itur-runtime-54d658cc-hrv8d","bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","1.5","ReplicaSet/igcb-itur-runtime-54d658cc"
"bab-dev-baasplatform-apps-01","igcb-itur-ui-mpp-648cf775cc-nr47v","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.2","0.24","ReplicaSet/igcb-itur-ui-mpp-648cf775cc"
"bab-dev-baasplatform-apps-01","igcb-itur-ui-pulse-95b9b7f98-bmgqt","bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.2","0.24","ReplicaSet/igcb-itur-ui-pulse-95b9b7f98"
"bab-dev-baasplatform-apps-01","igcb-itur-ui-sdk-ui-69d7cc585b-d7jjr","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.2","0.24","ReplicaSet/igcb-itur-ui-sdk-ui-69d7cc585b"
"bab-dev-baasplatform-apps-01","igcb-itur-ui-sdk-ui-manager-748975bbf6-kqjpl","bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.2","0.24","ReplicaSet/igcb-itur-ui-sdk-ui-manager-748975bbf6"
"bab-dev-baasplatform-apps-01","igcb-itur-ui-studio-5bb85c6479-4c9kv","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","0.24","ReplicaSet/igcb-itur-ui-studio-5bb85c6479"
"bab-dev-baasplatform-apps-01","igcb-sdk-runtime-7fc6bf5464-72nmj","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","1","ReplicaSet/igcb-sdk-runtime-7fc6bf5464"
"bab-dev-baasplatform-apps-01","igcb-sdk-runtime-api-sb-778898bb87-drjxh","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","1","ReplicaSet/igcb-sdk-runtime-api-sb-778898bb87"
"bab-dev-baasplatform-apps-01","igcb-sdk-runtime-onsite-prod-8544f6dfc-fxpb4","bab-dev-aro-01-zm4qv-worker-swec-07-48zfr","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","1","ReplicaSet/igcb-sdk-runtime-onsite-prod-8544f6dfc"
"bab-dev-baasplatform-apps-01","igcb-sdk-runtime-sb-65c8987895-ghszq","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.25","1","ReplicaSet/igcb-sdk-runtime-sb-65c8987895"
"bab-dev-cp4i","apic-dev-a7s-director-55fd4f8f78-j6x8r","bab-dev-aro-01-zm4qv-worker-swec-01-h4skf","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.05","0.12","ReplicaSet/apic-dev-a7s-director-55fd4f8f78"
"bab-dev-cp4i","apic-dev-a7s-ingestion-0","bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.175","7","StatefulSet/apic-dev-a7s-ingestion"
"bab-dev-cp4i","apic-dev-a7s-mtls-gw-65f7b8ddf7-qbz6r","bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.1","0.12","ReplicaSet/apic-dev-a7s-mtls-gw-65f7b8ddf7"
"bab-dev-cp4i","apic-dev-a7s-storage-0","bab-dev-aro-01-zm4qv-worker-swec-02-65kw7","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.225","6","StatefulSet/apic-dev-a7s-storage"
"bab-dev-cp4i","apic-dev-gw-0","bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","1","8","StatefulSet/apic-dev-gw"
"bab-dev-cp4i","apic-dev-mgmt-analytics-proxy-7c88954b6c-jmsz6","bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.04","0.12","ReplicaSet/apic-dev-mgmt-analytics-proxy-7c88954b6c"
"bab-dev-cp4i","apic-dev-mgmt-analytics-push-29769675-nbfsb","bab-dev-aro-01-zm4qv-worker-swec-03-pdt28","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.05","0.25","Job/apic-dev-mgmt-analytics-push-29769675"
"bab-dev-cp4i","apic-dev-mgmt-analytics-ui-54786d94d-h57mh","bab-dev-aro-01-zm4qv-worker-swec-04-25fmv","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.02","0.06","ReplicaSet/apic-dev-mgmt-analytics-ui-54786d94d"
"bab-dev-cp4i","apic-dev-mgmt-apim-ff9b7f957-fpmzs","bab-dev-aro-01-zm4qv-worker-swec-04-25fmv","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.2","0.12","ReplicaSet/apic-dev-mgmt-apim-ff9b7f957"
"bab-dev-cp4i","apic-dev-mgmt-client-downloads-server-574994c7fd-2x6vm","bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r","SHARED","NO","app=sas:NoSchedule;dedicated=uipath:NoSchedule","NO","","0.02","0","ReplicaSet/apic-dev-mgmt-client-downloads-server-574994c7fd"
