Node,CPU_Usage_Cores,CPU_Usage_Pct,Memory_Usage_Bytes,Memory_Usage_Pct
bab-dev-aro-01-zm4qv-master-0,8.8720,55,25686966272,41
bab-dev-aro-01-zm4qv-master-1,3.2020,20,20225982464,32
bab-dev-aro-01-zm4qv-master-2,3.7670,23,25534922752,41
bab-dev-aro-01-zm4qv-worker-rpa-swec-01-979xq,0.6170,1,18504220672,29
bab-dev-aro-01-zm4qv-worker-rpa-swec-02-s9mnt,0.8730,2,17121148928,27
bab-dev-aro-01-zm4qv-worker-swec-01-h4skf,2.7700,17,48381296640,38
bab-dev-aro-01-zm4qv-worker-swec-02-65kw7,2.8060,17,34255929344,27
bab-dev-aro-01-zm4qv-worker-swec-03-pdt28,1.0750,6,25557991424,20
bab-dev-aro-01-zm4qv-worker-swec-04-25fmv,0.9320,5,26056065024,20
bab-dev-aro-01-zm4qv-worker-swec-05-rwr4r,1.4490,9,32152485888,25
bab-dev-aro-01-zm4qv-worker-swec-06-qvjx6,5.5480,34,33866907648,27
bab-dev-aro-01-zm4qv-worker-swec-07-48zfr,3.4570,21,46816821248,37
bab-dev-aro-01-zm4qv-worker-swec-08-9xmrp,2.2000,13,37041995776,29
bab-dev-aro-01-zm4qv-worker-swec-09-7d9zr,1.1420,7,19202572288,15
bab-dev-aro-01-zm4qv-worker-swec-10-62m4m,0.9270,5,23879221248,19
bab-dev-aro-01-zm4qv-worker-swec-11-tqb4f,1.4270,8,22555918336,18
