Project,Total CPU Requests,Total CPU Limits,Total Memory Requests,Total Memory Limits,Quota CPU Requests,Quota CPU Limits,Quota Memory Requests,Quota Memory Limits,Pod Count
project.project.openshift.io/bab-azure-devops-agents,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/bab-java-common-svcs,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/bab-sit-baasplatform-apps-01,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/bab-sit-bib-backbase,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/bab-sit-cp4i,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/bab-sit-k8s-secrets-store-csi,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/bab-sit-newbib,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/bab-sit-web-baas,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/babamlsit,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/bank-sit-1,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/cert-manager,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/default,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/devops-gitops,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/istio-cni,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/istio-gateway,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/istio-system,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/kube-node-lease,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/kube-public,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/kube-system,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/open-cluster-management-agent,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/open-cluster-management-agent-addon,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-apiserver,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-apiserver-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-authentication,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-authentication-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-azure-guardrails,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-azure-logging,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-azure-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-cloud-controller-manager,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-cloud-controller-manager-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-cloud-credential-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-cloud-network-config-controller,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-cluster-csi-drivers,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-cluster-machine-approver,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-cluster-node-tuning-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-cluster-observability-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-cluster-samples-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-cluster-storage-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-cluster-version,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-config,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-config-managed,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-config-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-console,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-console-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-console-user-settings,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-controller-manager,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-controller-manager-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-2vsc8,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-2wclr,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-6668w,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-7xgm5,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-c8ns8,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-dwtt8,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-gr9zs,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-h4bf5,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-l6sv6,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-q5hml,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-sccbj,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-t4tpm,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-trw5s,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-wvbvj,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-zds94,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-debug-zf7pp,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-dns,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-dns-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-etcd,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-etcd-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-gitops,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-gitops-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-host-network,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-image-registry,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-infra,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-ingress,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-ingress-canary,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-ingress-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-insights,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-kni-infra,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-kube-apiserver,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-kube-apiserver-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-kube-controller-manager,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-kube-controller-manager-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-kube-scheduler,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-kube-scheduler-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-kube-storage-version-migrator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-kube-storage-version-migrator-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-logging,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-machine-api,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-machine-config-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
project.project.openshift.io/openshift-managed-upgrade-operator,0,0,0,0,N/A,N/A,N/A,N/A,0
